대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수,광역시도,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량,재활용률
계,강남구,2000,794.1,377.0,207.0,170.0,32.3,384.8,,,,,서울시,,594.0,,339.0,,,,,,255.0,,,
계,강남구,2001,799.0,510.7,242.1,268.6,158.7,129.6,,,,,서울시,,574.0,,511.0,,,,,,63.0,,,
계,강남구,2002,861.3,567.9,295.0,272.9,162.8,130.6,,,,,서울시,,599.0,,568.0,,,,32.0,,,,,
계,강남구,2003,874.9,556.8,267.3,289.5,169.5,148.6,,,,,서울시,,3345.0,,557.0,,,,32.0,,2757.0,,,
계,강남구,2004,835.0,541.4,242.4,299.0,168.0,125.6,,,,,서울시,,2832.0,,242.0,,299.0,,28.0,,2262.0,,7.0,
계,강남구,2005,823.6,542.7,237.5,305.2,212.5,68.4,,,,,서울시,,1777.0,,238.0,,305.0,,37.0,,1197.0,,6.0,
계,강남구,2006,800.4,520.4,209.9,310.5,233.4,46.6,,,,,서울시,,3066.0,,240.0,,311.0,,28.0,,2488.0,,6.0,
계,강남구,2007,837.9,530.8,200.9,329.9,246.3,60.8,,,,,서울시,,2828.0,,201.0,,330.0,,87.0,,2210.0,,7.0,
계,강남구,2008,942.9,581.5,239.7,341.8,193.1,168.3,,,,,서울시,,2155.0,,240.0,,342.0,,192.0,,1381.0,,6.0,
계,강남구,2009,978.7,605.1,263.3,341.8,197.6,176.0,,1.72,978.7,569499.0,서울시,,2174.0,,263.0,,342.0,,116.0,,1452.0,,7.0,
계,강남구,2010,990.5,632.2,291.9,340.3,136.6,221.7,,1.72,990.5,577070.0,서울시,2909.8,2261.8,650.2,291.9,340.3,340.3,363.1,119.2,1556.2,1510.4,64.1,6.0,
계,강남구,2011,1017.3,660.5,318.0,342.5,315.7,41.1,,1.78,1017.3,573003.0,서울시,3761.4,3024.3,659.1,302.3,358.2,358.2,377.1,117.9,2367.0,2245.9,19.5,1.5,
계,강남구,2012,984.9,679.8,339.8,340.0,234.7,70.4,,1.73,984.9,569997.0,서울시,4326.7,3712.7,644.9,339.8,340.0,340.0,340.4,138.4,3001.4,2894.5,63.3,4.4,
계,강남구,2013,745.2,499.5,222.7,276.8,160.4,85.3,,1.31,745.2,569152.0,서울시,2710.6,2378.1,468.4,222.7,276.8,276.8,,,1965.4,1878.6,95.3,6.5,
계,강남구,2014,808.2,556.2,213.9,342.3,143.6,108.4,,1.39,808.2,583446.0,서울시,2952.7,2375.3,465.9,213.9,342.3,342.3,390.4,151.0,1754.1,1668.1,53.8,5.9,
계,강남구,2015,713.2,470.5,198.3,272.2,200.3,42.4,,1.23,713.2,581760.0,서울시,3134.6,2587.6,441.0,198.3,272.2,272.2,478.9,237.7,1942.5,1879.4,52.1,3.9,
계,강남구,2016,707.2,474.7,188.9,285.8,77.0,155.5,,1.24,707.2,572140.0,서울시,4009.8,3156.6,421.4,188.9,285.8,285.8,581.6,,2721.0,2681.9,52.2,4.2,
계,강남구,2017,708.3,474.8,213.0,261.8,148.6,84.9,,1.26,708.3,561052.0,서울시,3067.4,2354.1,446.5,213.0,261.8,261.8,604.8,186.9,1754.3,1692.4,51.0,3.6,
계,강남구,2018,677.1,445.5,176.0,269.5,204.7,26.9,,1.24,677.1,547453.0,서울시,4789.0,4235.5,407.6,176.0,269.5,269.5,524.3,391.0,3587.6,3399.0,53.7,4.1,
계,강남구,2019,591.2,348.2,225.0,123.2,197.4,44.0,1.6,1.07,591.2,550209.0,서울시,3667.2,3055.1,319.6,76.6,271.6,271.6,586.2,234.3,2489.8,2472.6,50.8,4.4,
계,강남구,2020,254317.0,166714.0,77982.0,88732.0,74305.0,12820.0,478.0,1.28,694.9,544055.0,서울시,2015276.0,1863769.0,254317.0,166714.0,,,149499.0,88067.0,1611460.0,1608988.0,18547.0,1397.0,92.5
계,강남구,2021,248001.0,161619.0,76884.0,84735.0,73051.0,13244.0,87.0,1.26,679.5,537800.0,서울시,1530852.0,1361803.0,248001.0,161619.0,,,150248.0,71937.0,1132603.0,1128246.0,20172.0,2217.0,89.0
계,강남구,2022,263297.0,163224.0,73249.0,89976.0,81017.0,16579.0,2477.0,1.35,721.4,534103.0,서울시,1345308.0,1183372.0,263297.0,163224.0,,,148711.0,88288.0,933301.0,931860.0,19656.0,1204.0,88.0
계,강남구,2023,261425.0,161437.0,75688.0,85749.0,85097.0,14630.0,262.0,1.3,716.2,550282.0,서울시,1242720.0,1048413.0,261425.0,161437.0,,,154303.0,62105.0,826993.0,824871.0,18166.0,1131.0,84.4
계,강남구,2024,266815.0,169222.0,88651.0,80570.0,85233.0,10546.0,1814.0,1.29,729.0,563215.0,서울시,1049720.0,878728.0,266815.0,169222.0,,,151389.0,78396.0,631516.0,631110.0,18614.0,1406.0,83.7
계,강동구,2000,467.1,259.3,194.0,65.3,6.4,201.4,,,,,서울시,,379.0,,279.0,,,,92.0,,8.0,,,
계,강동구,2001,505.9,301.4,222.9,78.5,7.4,197.1,,,,,서울시,,933.0,,301.0,,,,105.0,,527.0,,,
계,강동구,2002,537.9,299.8,206.7,93.1,12.7,225.4,,,,,서울시,,621.0,,300.0,,,,110.0,,211.0,,,
계,강동구,2003,429.2,223.3,138.3,85.0,6.4,199.5,,,,,서울시,,425.0,,223.0,,,,95.0,,107.0,,,
계,강동구,2004,450.9,255.8,155.1,100.7,13.3,181.8,,,,,서울시,,1039.0,,162.0,,94.0,,99.0,,684.0,,3.0,
계,강동구,2005,437.6,281.3,168.3,113.0,16.4,139.9,,,,,서울시,,1261.0,,168.0,,113.0,,86.0,,894.0,,0.0,
계,강동구,2006,418.7,261.9,148.8,113.1,13.6,143.2,,,,,서울시,,1520.0,,239.0,,113.0,,0.0,,1168.0,,3.0,
계,강동구,2007,386.2,241.0,132.0,109.0,22.8,122.4,,,,,서울시,,1443.0,,132.0,,109.0,,98.0,,1104.0,,3.0,
계,강동구,2008,496.2,350.9,239.4,111.5,61.7,83.6,,,,,서울시,,1262.0,,239.0,,112.0,,99.0,,813.0,,4.0,
계,강동구,2009,426.4,288.8,171.6,117.2,57.7,79.9,,0.87,426.4,489655.0,서울시,,1641.0,,172.0,,117.0,,165.0,,1188.0,,5.0,
