대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수
계,강남구,2000,794.1,377.0,207.0,170.0,32.3,384.8,,,,
계,강남구,2001,799.0,510.7,242.1,268.6,158.7,129.6,,,,
계,강남구,2002,861.3,567.9,295.0,272.9,162.8,130.6,,,,
계,강남구,2003,874.9,556.8,267.3,289.5,169.5,148.6,,,,
계,강남구,2004,835.0,541.4,242.4,299.0,168.0,125.6,,,,
계,강남구,2005,823.6,542.7,237.5,305.2,212.5,68.4,,,,
계,강남구,2006,800.4,520.4,209.9,310.5,233.4,46.6,,,,
계,강남구,2007,837.9,530.8,200.9,329.9,246.3,60.8,,,,
계,강남구,2008,942.9,581.5,239.7,341.8,193.1,168.3,,,,
계,강남구,2009,978.7,605.1,263.3,341.8,197.6,176.0,,1.72,978.7,569499.0
계,강남구,2010,990.5,632.2,291.9,340.3,136.6,221.7,,1.72,990.5,577070.0
계,강남구,2011,1017.3,660.5,318.0,342.5,315.7,41.1,,1.78,1017.3,573003.0
계,강남구,2012,984.9,679.8,339.8,340.0,234.7,70.4,,1.73,984.9,569997.0
계,강남구,2013,745.2,499.5,222.7,276.8,160.4,85.3,,1.31,745.2,569152.0
계,강남구,2014,808.2,556.2,213.9,342.3,143.6,108.4,,1.39,808.2,583446.0
계,강남구,2015,713.2,470.5,198.3,272.2,200.3,42.4,,1.23,713.2,581760.0
계,강남구,2016,707.2,474.7,188.9,285.8,77.0,155.5,,1.24,707.2,572140.0
계,강남구,2017,708.3,474.8,213.0,261.8,148.6,84.9,,1.26,708.3,561052.0
계,강남구,2018,677.1,445.5,176.0,269.5,204.7,26.9,,1.24,677.1,547453.0
계,강남구,2019,591.2,348.2,225.0,123.2,197.4,44.0,1.6,1.07,591.2,550209.0
계,강남구,2020,254317.0,166714.0,77982.0,88732.0,74305.0,12820.0,478.0,1.28,694.9,544055.0
계,강남구,2021,248001.0,161619.0,76884.0,84735.0,73051.0,13244.0,87.0,1.26,679.5,537800.0
