대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량,재활용률,음식물총량,가정_소계,가정_단독주택,가정_공동주택,가정_소형음식점,다량배출사업장_소계,다량배출사업장_집단급식소,다량배출사업장_음식점200이상,다량배출사업장_대규모점포,다량배출사업장_농수산시장,다량배출사업장_관광숙박시설,사업장폐기물배출자_소계,사업장폐기물배출자_집단급식소,사업장폐기물배출자_음식점200이상,사업장폐기물배출자_대규모점포,사업장폐기물배출자_농수산시장,사업장폐기물배출자_관광숙박시설
계,강남구,2000,794.1,377,207,170,32.3,384.8,,,,,,594,,339,,,,,,255,,,,,,,,,,,,,,,,,,,,
계,강남구,2001,799,510.7,242.1,268.6,158.7,129.6,,,,,,574,,511,,,,,,63,,,,,,,,,,,,,,,,,,,,
계,강남구,2002,861.3,567.9,295,272.9,162.8,130.6,,,,,,599,,568,,,,32,,,,,,,,,,,,,,,,,,,,,,
계,강남구,2003,874.9,556.8,267.3,289.5,169.5,148.6,,,,,,3345,,557,,,,32,,2757,,,,,,,,,,,,,,,,,,,,
계,강남구,2004,835,541.4,242.4,299,168,125.6,,,,,,2832,,242,,299,,28,,2262,,7,,,,,,,,,,,,,,,,,,
계,강남구,2005,823.6,542.7,237.5,305.2,212.5,68.4,,,,,,1777,,238,,305,,37,,1197,,6,,,,,,,,,,,,,,,,,,
계,강남구,2006,800.4,520.4,209.9,310.5,233.4,46.6,,,,,,3066,,240,,311,,28,,2488,,6,,,,,,,,,,,,,,,,,,
계,강남구,2007,837.9,530.8,200.9,329.9,246.3,60.8,,,,,,2828,,201,,330,,87,,2210,,7,,,,,,,,,,,,,,,,,,
계,강남구,2008,942.9,581.5,239.7,341.8,193.1,168.3,,,,,,2155,,240,,342,,192,,1381,,6,,,,,,,,,,,,,,,,,,
계,강남구,2009,978.7,605.1,263.3,341.8,197.6,176,,1.72,978.7,569499,,2174,,263,,342,,116,,1452,,7,,,,,,,,,,,,,,,,,,
계,강남구,2010,990.5,632.2,291.9,340.3,136.6,221.7,,1.72,990.5,577070,2909.8,2261.8,650.2,291.9,340.3,340.3,363.1,119.2,1556.2,1510.4,64.1,6,,,,,,,,,,,,,,,,,,
계,강남구,2011,1017.3,660.5,318,342.5,315.7,41.1,,1.78,1017.3,573003,3761.4,3024.3,659.1,302.3,358.2,358.2,377.1,117.9,2367,2245.9,19.5,1.5,,,,,,,,,,,,,,,,,,
계,강남구,2012,984.9,679.8,339.8,340,234.7,70.4,,1.73,984.9,569997,4326.7,3712.7,644.9,339.8,340,340,340.4,138.4,3001.4,2894.5,63.3,4.4,,,,,,,,,,,,,,,,,,
계,강남구,2013,745.2,499.5,222.7,276.8,160.4,85.3,,1.31,745.2,569152,2710.6,2378.1,468.4,222.7,276.8,276.8,,,1965.4,1878.6,95.3,6.5,,,,,,,,,,,,,,,,,,
계,강남구,2014,808.2,556.2,213.9,342.3,143.6,108.4,,1.39,808.2,583446,2952.7,2375.3,465.9,213.9,342.3,342.3,390.4,151,1754.1,1668.1,53.8,5.9,,342.3,190.5,43.2,52.2,95.1,151.8,25,99.9,11.5,,15.4,,,,,,
계,강남구,2015,713.2,470.5,198.3,272.2,200.3,42.4,,1.23,713.2,581760,3134.6,2587.6,441,198.3,272.2,272.2,478.9,237.7,1942.5,1879.4,52.1,3.9,,272.2,192.8,47.5,56.9,88.4,79.4,20.8,44.8,8.7,,5.1,,,,,,
계,강남구,2016,707.2,474.7,188.9,285.8,77,155.5,,1.24,707.2,572140,4009.8,3156.6,421.4,188.9,285.8,285.8,581.6,,2721,2681.9,52.2,4.2,,287,188.9,42.1,52.1,94.7,98.1,22.6,55.9,9.8,,9.8,,,,,,
계,강남구,2017,708.3,474.8,213,261.8,148.6,84.9,,1.26,708.3,561052,3067.4,2354.1,446.5,213,261.8,261.8,604.8,186.9,1754.3,1692.4,51,3.6,,261.8,180.1,42.2,51.6,86.3,81.7,12,50,12,,7.7,,,,,,
계,강남구,2018,677.1,445.5,176,269.5,204.7,26.9,,1.24,677.1,547453,4789,4235.5,407.6,176,269.5,269.5,524.3,391,3587.6,3399,53.7,4.1,,269.5,177.1,38.9,47.6,90.6,92.4,19.1,51.6,14.7,,7,,,,,,
