대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타
계,강남구,2020,254317.0,166714.0,77982.0,88732.0,74305.0,12820.0,478.0
계,강남구,2021,248001.0,161619.0,76884.0,84735.0,73051.0,13244.0,87.0
계,강남구,2022,263297.0,163224.0,73249.0,89976.0,81017.0,16579.0,2477.0
계,강남구,2023,261425.0,161437.0,75688.0,85749.0,85097.0,14630.0,262.0
계,강남구,2024,266815.0,169222.0,88651.0,80570.0,85233.0,10546.0,1814.0
계,강동구,2020,134696.0,90881.0,50471.0,40410.0,26954.0,16699.0,161.0
계,강동구,2021,146616.0,97802.0,55306.0,42496.0,20752.0,15911.0,12151.0
계,강동구,2022,126256.0,90128.0,49478.0,40650.0,19731.0,16367.0,30.0
계,강동구,2023,122793.0,87690.0,49144.0,38546.0,20634.0,14436.0,33.0
계,강동구,2024,129564.0,84538.0,46483.0,38055.0,33808.0,10643.0,574.0
계,강북구,2020,88989.0,53419.0,28260.0,25158.0,32484.0,3086.0,
계,강북구,2021,94407.0,63804.0,40369.0,23436.0,25501.0,2504.0,2597.0
계,강북구,2022,89627.0,61272.0,38208.0,23065.0,24914.0,2157.0,1284.0
계,강북구,2023,88886.0,62128.0,40003.0,22125.0,24499.0,2223.0,35.0
계,강북구,2024,83607.0,57254.0,35218.0,22037.0,24101.0,2252.0,
계,강서구,2020,192797.0,133861.0,81134.0,52728.0,37921.0,20583.0,431.0
계,강서구,2021,751795.0,212856.0,165418.0,47438.0,38987.0,229973.0,269979.0
계,강서구,2022,585756.0,274273.0,228116.0,46157.0,46052.0,22085.0,243346.0
계,강서구,2023,490315.0,221810.0,178033.0,43777.0,48403.0,15035.0,205068.0
계,강서구,2024,590910.0,270188.0,225445.0,44743.0,50371.0,14385.0,255967.0
계,관악구,2020,146977.0,103521.0,69067.0,34454.0,11177.0,32279.0,
계,관악구,2021,146143.0,87868.0,54392.0,33476.0,40409.0,17867.0,
계,관악구,2022,161574.0,109513.0,75883.0,33630.0,32082.0,19980.0,
계,관악구,2023,146875.0,97385.0,65990.0,31395.0,31360.0,18067.0,63.0
계,관악구,2024,149864.0,111384.0,80526.0,30858.0,24650.0,13830.0,
계,광진구,2020,125579.0,87415.0,55637.0,31778.0,30325.0,7823.0,15.0
계,광진구,2021,91428.0,62681.0,32505.0,30176.0,18288.0,10459.0,
계,광진구,2022,120644.0,95246.0,64919.0,30328.0,16497.0,8595.0,306.0
계,광진구,2023,104709.0,67412.0,36984.0,30428.0,29242.0,8048.0,8.0
계,광진구,2024,107234.0,71082.0,41987.0,29096.0,27968.0,8176.0,8.0
계,구로구,2020,120646.0,63150.0,33108.0,30042.0,39947.0,17541.0,8.0
계,구로구,2021,136224.0,76846.0,46994.0,29852.0,40405.0,18687.0,287.0
계,구로구,2022,134033.0,80101.0,51349.0,28752.0,37846.0,15879.0,208.0
계,구로구,2023,171610.0,119509.0,91264.0,28245.0,39364.0,12648.0,89.0
계,구로구,2024,122831.0,71343.0,43017.0,28325.0,44102.0,7011.0,375.0
계,금천구,2020,100451.0,69075.0,48929.0,20146.0,5749.0,24736.0,891.0
계,금천구,2021,98645.0,62226.0,41962.0,20265.0,11718.0,24175.0,525.0
계,금천구,2022,99931.0,65228.0,45141.0,20087.0,11294.0,22984.0,425.0
계,금천구,2023,101244.0,64988.0,45608.0,19380.0,11071.0,21475.0,3710.0
계,금천구,2024,96694.0,64032.0,44733.0,19299.0,10564.0,21528.0,570.0
계,노원구,2020,144500.0,102566.0,59548.0,43018.0,39196.0,1926.0,813.0
계,노원구,2021,135900.0,95590.0,53368.0,42222.0,36352.0,3854.0,104.0
계,노원구,2022,145778.0,106889.0,64645.0,42244.0,35346.0,3490.0,53.0
계,노원구,2023,140139.0,102671.0,62070.0,40600.0,33276.0,3815.0,377.0
계,노원구,2024,150001.0,96090.0,55535.0,40555.0,41725.0,1856.0,10329.0
계,도봉구,2020,110126.0,72850.0,46187.0,26663.0,34579.0,2599.0,98.0
계,도봉구,2021,91929.0,53467.0,27155.0,26313.0,35235.0,3095.0,132.0
계,도봉구,2022,94263.0,70069.0,43989.0,26080.0,20088.0,2597.0,1509.0
계,도봉구,2023,102431.0,58070.0,31074.0,26996.0,36818.0,2605.0,4938.0
계,도봉구,2024,88094.0,61429.0,37068.0,24361.0,20306.0,2084.0,4276.0
계,동대문구,2020,161082.0,121098.0,87880.0,33218.0,31697.0,8277.0,10.0
계,동대문구,2021,116867.0,75504.0,41504.0,34000.0,31695.0,9560.0,109.0
계,동대문구,2022,108075.0,68325.0,37152.0,31174.0,30065.0,9484.0,200.0
계,동대문구,2023,113337.0,72494.0,41190.0,31303.0,31512.0,7144.0,2187.0
계,동대문구,2024,112593.0,73460.0,42239.0,31221.0,33612.0,4632.0,889.0
계,동작구,2020,118757.0,86746.0,55512.0,31234.0,24316.0,6850.0,846.0
계,동작구,2021,108554.0,71943.0,42577.0,29366.0,25098.0,11143.0,371.0
계,동작구,2022,118013.0,77044.0,47526.0,29518.0,26806.0,13606.0,557.0
계,동작구,2023,116719.0,79700.0,50954.0,28746.0,26679.0,9967.0,373.0
계,동작구,2024,119527.0,80659.0,52048.0,28611.0,27158.0,9166.0,2544.0
계,마포구,2020,134108.0,79919.0,48960.0,30959.0,41798.0,12391.0,
계,마포구,2021,199008.0,79714.0,51252.0,28462.0,41372.0,10035.0,67887.0
계,마포구,2022,152394.0,88134.0,58550.0,29584.0,42222.0,9994.0,12045.0
계,마포구,2023,135308.0,83318.0,54544.0,28775.0,43555.0,7586.0,849.0
계,마포구,2024,142121.0,85360.0,58662.0,26698.0,49895.0,5601.0,1266.0
계,서대문구,2020,104413.0,64333.0,41128.0,23205.0,28780.0,11300.0,
계,서대문구,2021,96768.0,57786.0,35533.0,22253.0,30403.0,8512.0,68.0
계,서대문구,2022,107631.0,67206.0,44791.0,22415.0,29038.0,8326.0,3061.0
계,서대문구,2023,97594.0,60677.0,38427.0,22250.0,31484.0,5433.0,
계,서대문구,2024,99837.0,63501.0,40880.0,22621.0,31947.0,4288.0,101.0
계,서초구,2020,184761.0,109206.0,52198.0,57007.0,46581.0,28975.0,
계,서초구,2021,177110.0,108844.0,55057.0,53786.0,49351.0,18095.0,821.0
계,서초구,2022,180281.0,112992.0,60684.0,52308.0,47902.0,17609.0,1778.0
계,서초구,2023,178090.0,111677.0,61277.0,50400.0,48674.0,16791.0,948.0
계,서초구,2024,180257.0,113288.0,63473.0,49815.0,47403.0,16181.0,3385.0
계,성동구,2020,110224.0,73914.0,45279.0,28635.0,22839.0,9739.0,3733.0
계,성동구,2021,99225.0,68206.0,40224.0,27982.0,20456.0,10421.0,142.0
계,성동구,2022,104584.0,66623.0,38624.0,27999.0,22459.0,15149.0,353.0
계,성동구,2023,106823.0,68206.0,40545.0,27661.0,30416.0,8083.0,120.0
계,성동구,2024,159245.0,120565.0,93089.0,27476.0,30444.0,6175.0,2062.0
계,성북구,2020,132342.0,90004.0,58017.0,31987.0,37020.0,5206.0,112.0
