광역시도,자치구,연도,음식물총량,가정_소계,가정_단독주택,가정_공동주택,가정_소형음식점,다량배출사업장_소계,다량배출사업장_집단급식소,다량배출사업장_음식점200이상,다량배출사업장_대규모점포,다량배출사업장_농수산시장,다량배출사업장_관광숙박시설,사업장폐기물배출자_소계,사업장폐기물배출자_집단급식소,사업장폐기물배출자_음식점200이상,사업장폐기물배출자_대규모점포,사업장폐기물배출자_농수산시장,사업장폐기물배출자_관광숙박시설
서울시,강남구,2014,342.3,190.5,43.2,52.2,95.1,151.8,25.0,99.9,11.5,,15.4,,,,,,
서울시,강남구,2015,272.2,192.8,47.5,56.9,88.4,79.4,20.8,44.8,8.7,,5.1,,,,,,
서울시,강남구,2016,287.0,188.9,42.1,52.1,94.7,98.1,22.6,55.9,9.8,,9.8,,,,,,
서울시,강남구,2017,261.8,180.1,42.2,51.6,86.3,81.7,12.0,50.0,12.0,,7.7,,,,,,
서울시,강남구,2018,269.5,177.1,38.9,47.6,90.6,92.4,19.1,51.6,14.7,,7.0,,,,,,
서울시,강남구,2019,271.6,176.0,45.7,38.7,91.6,68.4,12.4,53.5,1.5,,1.0,27.2,6.4,,12.8,,7.9
서울시,강남구,2020,242.6,171.3,43.5,42.7,85.1,51.1,8.5,41.4,,,1.2,20.2,5.3,0.3,9.9,,4.7
서울시,강남구,2021,231.1,165.8,51.4,28.2,86.2,45.6,8.9,36.0,,,0.7,19.7,5.6,,10.8,,3.3
서울시,강남구,2022,245.4,164.8,51.1,28.0,85.7,61.9,14.1,44.0,0.6,,3.1,18.8,4.0,0.0,10.2,,4.6
서울시,강남구,2023,235.3,154.9,29.4,54.2,71.2,57.0,17.3,37.0,0.7,,2.0,23.5,4.5,1.6,10.6,,6.8
서울시,강동구,2014,125.4,111.9,51.6,56.2,4.1,13.5,4.2,6.1,3.2,,,,,,,,
서울시,강동구,2015,131.5,107.9,35.6,57.7,14.6,23.6,11.1,10.2,2.3,,,,,,,,
서울시,강동구,2016,122.5,100.2,36.0,46.7,17.5,22.3,10.1,9.6,2.6,,,,,,,,
서울시,강동구,2017,114.6,94.0,40.0,34.9,19.1,20.6,9.9,8.2,2.5,,,,,,,,
서울시,강동구,2018,110.0,89.4,33.0,43.7,12.7,20.6,10.0,8.6,2.0,,,,,,,,
서울시,강동구,2019,113.5,90.0,35.6,42.8,11.6,17.5,8.2,9.2,,,,6.0,4.0,0.4,1.7,,
서울시,강동구,2020,110.4,88.9,29.1,48.2,11.6,16.5,7.3,9.3,,,,5.0,3.2,,1.8,,
서울시,강동구,2021,116.6,93.6,31.0,51.3,11.3,19.2,8.6,10.4,0.1,,,3.8,2.4,0.2,1.2,,
서울시,강동구,2022,113.1,91.6,32.5,47.7,11.4,16.7,9.5,7.2,,,,4.8,2.9,0.3,1.7,,
서울시,강동구,2023,105.6,88.0,32.4,44.7,10.9,14.5,9.2,5.2,,,,3.1,1.8,0.2,1.1,,
서울시,강북구,2014,87.7,81.5,49.4,23.9,8.2,6.2,2.3,2.7,0.9,,0.3,,,,,,
서울시,강북구,2015,88.6,78.8,40.3,25.4,13.1,9.8,4.0,4.8,0.6,,0.4,,,,,,
서울시,강북구,2016,84.5,75.3,37.0,23.4,14.9,9.2,3.9,4.4,0.6,,0.3,,,,,,
서울시,강북구,2017,78.7,69.5,33.3,23.3,12.9,9.2,4.2,4.0,0.8,,0.2,,,,,,
서울시,강북구,2018,75.9,68.1,32.0,24.0,12.1,7.8,3.7,3.5,0.5,,0.1,,,,,,
서울시,강북구,2019,73.5,65.8,30.3,22.8,12.7,6.9,3.8,3.0,,,0.1,0.8,,,0.8,,
서울시,강북구,2020,68.7,63.3,32.8,21.0,9.5,4.7,2.6,2.1,,,0.1,0.7,,,0.7,,
서울시,강북구,2021,64.3,58.6,32.1,19.1,7.4,5.2,3.3,1.8,,,0.1,0.5,,,0.5,,
서울시,강북구,2022,63.2,56.6,32.9,17.0,6.7,6.1,3.7,2.3,,,0.1,0.5,,,0.5,,
서울시,강북구,2023,60.6,53.3,27.3,16.9,9.1,6.7,3.8,2.9,,,0.0,0.5,,,0.5,,
서울시,강서구,2014,170.2,128.1,57.7,43.2,27.2,42.1,9.8,12.1,5.1,13.9,1.2,,,,,,
서울시,강서구,2015,178.8,129.7,53.9,46.0,29.8,49.1,11.4,12.6,5.7,19.2,0.2,,,,,,
서울시,강서구,2016,178.2,130.7,55.0,47.4,28.3,47.5,11.2,13.2,6.6,16.3,0.2,,,,,,
서울시,강서구,2017,168.5,128.4,53.2,46.4,28.8,40.1,12.3,12.3,3.5,11.9,0.1,,,,,,
서울시,강서구,2018,163.1,126.8,52.1,45.1,29.6,36.3,12.8,10.7,3.8,8.0,1.0,,,,,,
서울시,강서구,2019,165.0,129.0,6.2,96.9,25.9,23.1,11.3,11.7,0.1,,0.1,12.9,1.6,,3.9,6.2,1.2
서울시,강서구,2020,144.1,114.3,5.4,84.5,24.4,17.1,7.9,8.9,,,0.3,12.7,2.1,0.4,2.7,6.5,0.9
서울시,강서구,2021,131.3,103.7,12.5,71.0,20.2,17.7,8.6,8.8,,,0.3,9.9,3.1,,3.2,3.7,
서울시,강서구,2022,128.7,98.8,12.4,70.2,16.2,19.7,12.2,7.0,,,0.5,10.2,3.6,,3.2,2.6,0.8
서울시,강서구,2023,122.3,93.4,11.5,65.1,16.9,16.1,9.8,6.2,,,0.1,12.8,5.0,1.0,2.6,3.3,0.8
서울시,관악구,2014,119.1,100.4,53.4,34.1,12.9,18.7,6.9,10.2,1.6,,,,,,,,
서울시,관악구,2015,116.8,99.8,54.1,34.5,11.2,17.0,6.6,8.9,1.5,,,,,,,,
서울시,관악구,2016,115.3,98.4,55.2,30.8,12.4,16.9,6.6,9.0,1.3,,,,,,,,
서울시,관악구,2017,110.3,93.6,50.0,29.4,14.2,16.7,6.7,8.9,1.1,,,,,,,,
서울시,관악구,2018,110.3,93.9,49.7,29.6,14.6,16.4,6.2,9.2,1.0,,,,,,,,
서울시,관악구,2019,105.6,90.7,48.7,29.4,12.6,14.1,5.7,7.9,0.5,,,0.8,,,0.8,,
서울시,관악구,2020,94.2,85.6,53.0,18.6,14.0,7.1,2.4,4.8,,,,1.5,0.7,,0.8,,
서울시,관악구,2021,91.8,83.2,45.7,20.5,17.0,7.5,3.8,3.6,0.1,,,1.1,0.6,,0.5,,
서울시,관악구,2022,92.5,82.4,42.9,18.9,20.5,8.2,4.2,3.9,0.0,,,1.9,,0.1,1.9,,
서울시,관악구,2023,86.0,75.6,41.6,17.7,16.3,9.3,4.4,4.9,,,,1.1,0.2,,0.9,,
서울시,광진구,2014,104.5,87.2,57.3,20.9,9.0,17.3,4.1,8.1,2.6,,2.5,,,,,,
서울시,광진구,2015,104.2,85.9,57.2,20.3,8.4,18.3,6.8,7.8,2.5,,1.2,,,,,,
서울시,광진구,2016,102.6,82.3,55.2,19.2,7.9,20.3,4.4,6.8,5.9,,3.2,,,,,,
서울시,광진구,2017,99.0,77.8,52.4,18.5,6.9,21.2,5.1,5.4,5.5,,5.2,,,,,,
서울시,광진구,2018,95.1,77.4,51.9,19.2,6.3,17.7,5.2,4.9,2.7,,4.9,,,,,,
서울시,광진구,2019,92.7,76.7,53.9,15.7,7.1,9.3,4.6,4.6,,,0.0,6.7,,,2.5,,4.1
서울시,광진구,2020,86.8,73.5,52.4,15.4,5.6,6.0,2.9,3.2,,,,7.3,,,2.8,,4.4
서울시,광진구,2021,82.7,69.3,39.7,19.8,9.8,6.3,3.5,2.7,,,0.0,7.1,,,2.6,,4.5
서울시,광진구,2022,83.3,68.7,34.5,18.8,15.4,7.0,3.9,3.1,,,0.1,7.6,0.1,,2.4,,5.0
서울시,광진구,2023,83.4,67.8,23.8,20.5,23.5,8.8,5.1,3.7,,,0.0,6.8,0.2,,2.4,,4.2
서울시,구로구,2014,116.6,95.9,30.5,50.5,14.9,20.7,3.9,8.5,8.3,,,,,,,,
서울시,구로구,2015,112.2,87.5,31.8,41.9,13.8,24.7,6.3,6.3,11.7,,0.4,,,,,,
서울시,구로구,2016,112.9,80.7,32.3,33.2,15.2,32.2,6.6,7.1,18.1,,0.4,,,,,,
서울시,구로구,2017,102.3,76.8,30.7,31.5,14.6,25.5,7.1,7.3,10.4,,0.7,,,,,,
서울시,구로구,2018,96.8,72.4,27.3,30.8,14.3,24.4,8.0,8.5,6.9,,1.0,,,,,,
서울시,구로구,2019,94.6,68.8,3.8,32.7,32.3,17.7,6.7,7.2,2.5,,1.2,8.1,1.8,,6.3,,
서울시,구로구,2020,82.2,63.1,17.6,28.3,17.1,14.5,5.7,5.8,2.5,,0.5,4.6,1.0,,3.5,,
서울시,구로구,2021,81.8,63.1,19.0,30.5,13.6,13.3,6.4,4.6,1.7,,0.6,5.4,1.4,,4.0,,
서울시,구로구,2022,77.4,59.5,16.5,26.5,16.5,13.6,5.9,5.2,1.7,,0.8,4.2,1.1,,3.1,,
서울시,구로구,2023,77.4,58.4,15.2,24.7,18.5,13.1,6.2,5.3,0.5,,1.1,5.9,,,5.9,,
서울시,금천구,2014,68.4,52.8,24.6,11.4,16.8,15.6,4.6,6.5,4.1,,0.4,,,,,,
서울시,금천구,2015,65.8,53.3,33.4,11.2,8.7,12.5,3.7,5.2,3.3,,0.3,,,,,,
서울시,금천구,2016,64.7,50.7,31.0,10.9,8.8,14.0,3.3,6.6,3.8,,0.3,,,,,,
서울시,금천구,2017,59.6,48.0,28.8,10.7,8.5,11.6,3.8,4.3,3.2,,0.3,,,,,,
서울시,금천구,2018,59.0,47.1,28.9,10.6,7.6,11.9,4.0,5.5,2.2,,0.2,,,,,,
서울시,금천구,2019,59.1,46.8,29.2,10.5,7.1,9.7,4.6,4.3,0.5,,0.3,2.6,,,2.6,,
서울시,금천구,2020,55.0,44.6,26.4,10.5,7.8,8.8,3.9,4.7,,,0.2,1.6,,,1.6,,
서울시,금천구,2021,55.5,44.8,27.3,10.3,7.2,9.0,4.3,4.5,,,0.1,1.7,,,1.7,,
서울시,금천구,2022,55.2,43.1,25.2,9.9,7.9,9.9,4.2,4.4,1.3,,0.1,2.2,,,2.2,,
서울시,금천구,2023,53.1,40.9,23.8,9.7,7.3,10.1,4.4,5.6,,,0.1,2.2,,,2.2,,
서울시,노원구,2014,169.8,145.3,27.3,97.9,20.1,24.5,12.5,7.0,5.0,,,,,,,,
서울시,노원구,2015,162.8,144.5,33.7,90.3,20.5,18.3,10.7,5.7,1.9,,,,,,,,
서울시,노원구,2016,157.9,137.3,30.1,83.4,23.8,20.6,10.2,5.9,4.5,,,,,,,,
서울시,노원구,2017,138.7,118.5,25.6,70.6,22.3,20.2,10.9,5.1,4.2,,,,,,,,
서울시,노원구,2018,131.9,111.7,23.1,65.2,23.4,20.2,11.1,5.8,3.2,,0.1,,,,,,
서울시,노원구,2019,128.7,109.5,22.9,64.1,22.5,14.9,9.2,5.7,,,0.0,4.3,1.4,,3.0,,
서울시,노원구,2020,118.4,105.8,21.9,64.8,19.2,7.8,4.2,3.6,0.1,,,4.8,1.2,,3.6,,
서울시,노원구,2021,115.9,102.0,21.0,63.6,17.4,9.4,6.5,2.8,0.0,,0.0,4.5,1.0,,3.5,,
서울시,노원구,2022,116.2,100.5,20.4,60.6,19.5,11.1,7.9,3.1,0.0,,0.0,4.6,1.1,,3.4,,
서울시,노원구,2023,111.2,95.0,13.3,57.6,24.2,11.6,8.2,3.4,0.0,,0.0,4.6,1.0,,3.6,,
서울시,도봉구,2014,98.1,87.5,17.4,43.4,26.7,10.6,3.9,3.6,1.2,1.9,,,,,,,
서울시,도봉구,2015,96.9,87.4,16.1,43.0,28.3,9.5,4.7,4.6,0.1,0.1,,,,,,,
서울시,도봉구,2016,90.7,80.8,14.9,38.8,27.1,9.9,4.6,4.2,1.1,,,,,,,,
서울시,도봉구,2017,82.4,73.1,13.5,33.7,25.9,9.3,4.1,3.0,1.2,1.0,,,,,,,
서울시,도봉구,2018,78.3,69.3,13.5,30.1,25.7,9.0,4.3,2.7,1.0,0.9,0.1,,,,,,
서울시,도봉구,2019,78.2,68.7,13.8,28.4,26.5,7.8,6.7,1.1,,,0.0,1.7,0.1,,1.6,,
서울시,도봉구,2020,72.8,66.4,14.7,28.4,23.4,4.8,2.8,2.0,,,,1.6,0.1,,0.6,0.9,
서울시,도봉구,2021,72.0,64.8,16.7,27.4,20.7,5.7,3.8,2.0,,,0.0,1.5,,,0.6,0.9,
서울시,도봉구,2022,71.8,63.0,15.1,25.0,22.9,6.9,4.6,2.2,,,0.1,1.9,0.3,,0.7,0.9,
서울시,도봉구,2023,74.0,60.1,16.4,24.5,19.2,7.0,4.6,2.4,,,0.1,6.9,,,4.0,2.9,
서울시,동대문구,2014,105.1,93.9,31.0,36.9,26.0,11.2,5.2,4.4,1.6,,,,,,,,
서울시,동대문구,2015,105.8,92.6,36.1,35.9,20.6,13.2,6.1,3.7,3.0,0.4,,,,,,,
서울시,동대문구,2016,105.4,90.4,41.2,34.8,14.4,15.0,7.8,4.3,2.5,0.4,,,,,,,
서울시,동대문구,2017,101.8,86.4,29.8,40.1,16.5,15.4,7.6,4.1,3.4,0.2,0.1,,,,,,
서울시,동대문구,2018,97.6,82.6,26.2,36.9,19.5,15.0,9.4,3.6,1.7,0.2,0.1,,,,,,
서울시,동대문구,2019,97.7,83.7,30.8,33.5,19.4,9.1,5.4,3.2,0.4,,0.1,4.9,3.5,,1.2,0.2,
서울시,동대문구,2020,90.8,79.9,27.5,35.8,16.6,6.6,3.6,2.7,0.3,,,4.3,1.6,,2.5,0.2,
서울시,동대문구,2021,93.5,83.8,30.9,36.9,16.0,6.3,3.6,2.5,0.3,,0.0,3.4,1.6,,1.5,0.3,
서울시,동대문구,2022,85.6,73.9,29.0,30.1,14.8,8.2,5.1,2.9,0.2,,0.0,3.4,1.3,,1.9,0.3,
서울시,동대문구,2023,85.8,74.6,36.5,26.5,11.6,7.7,4.9,2.6,0.1,,0.0,3.5,1.3,,2.0,0.2,
서울시,동작구,2014,115.6,93.8,42.0,45.3,6.5,21.8,3.2,3.0,0.4,15.2,,,,,,,
서울시,동작구,2015,106.2,92.7,45.6,39.9,7.2,13.5,5.4,6.3,0.1,1.7,,,,,,,
