광역시도,자치구,연도,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량
서울시,강남구,2000,,594.0,,339.0,,,,,,255.0,,
서울시,강남구,2001,,574.0,,511.0,,,,,,63.0,,
서울시,강남구,2002,,599.0,,568.0,,,,32.0,,,,
서울시,강남구,2003,,3345.0,,557.0,,,,32.0,,2757.0,,
서울시,강남구,2004,,2832.0,,242.0,,299.0,,28.0,,2262.0,,7.0
서울시,강남구,2005,,1777.0,,238.0,,305.0,,37.0,,1197.0,,6.0
서울시,강남구,2006,,3066.0,,240.0,,311.0,,28.0,,2488.0,,6.0
서울시,강남구,2007,,2828.0,,201.0,,330.0,,87.0,,2210.0,,7.0
서울시,강남구,2008,,2155.0,,240.0,,342.0,,192.0,,1381.0,,6.0
서울시,강남구,2009,,2174.0,,263.0,,342.0,,116.0,,1452.0,,7.0
서울시,강남구,2010,2909.8,2261.8,650.2,291.9,340.3,340.3,363.1,119.2,1556.2,1510.4,64.1,6.0
서울시,강남구,2011,3761.4,3024.3,659.1,302.3,358.2,358.2,377.1,117.9,2367.0,2245.9,19.5,1.5
서울시,강남구,2012,4326.7,3712.7,644.9,339.8,340.0,340.0,340.4,138.4,3001.4,2894.5,63.3,4.4
서울시,강남구,2013,2710.6,2378.1,468.4,222.7,276.8,276.8,,,1965.4,1878.6,95.3,6.5
서울시,강남구,2014,2952.7,2375.3,465.9,213.9,342.3,342.3,390.4,151.0,1754.1,1668.1,53.8,5.9
서울시,강남구,2015,3134.6,2587.6,441.0,198.3,272.2,272.2,478.9,237.7,1942.5,1879.4,52.1,3.9
서울시,강남구,2016,4009.8,3156.6,421.4,188.9,285.8,285.8,581.6,,2721.0,2681.9,52.2,4.2
서울시,강남구,2017,3067.4,2354.1,446.5,213.0,261.8,261.8,604.8,186.9,1754.3,1692.4,51.0,3.6
서울시,강남구,2018,4789.0,4235.5,407.6,176.0,269.5,269.5,524.3,391.0,3587.6,3399.0,53.7,4.1
서울시,강남구,2019,3667.2,3055.1,319.6,76.6,271.6,271.6,586.2,234.3,2489.8,2472.6,50.8,4.4
서울시,강동구,2000,,379.0,,279.0,,,,92.0,,8.0,,
서울시,강동구,2001,,933.0,,301.0,,,,105.0,,527.0,,
서울시,강동구,2002,,621.0,,300.0,,,,110.0,,211.0,,
서울시,강동구,2003,,425.0,,223.0,,,,95.0,,107.0,,
서울시,강동구,2004,,1039.0,,162.0,,94.0,,99.0,,684.0,,3.0
서울시,강동구,2005,,1261.0,,168.0,,113.0,,86.0,,894.0,,0.0
서울시,강동구,2006,,1520.0,,239.0,,113.0,,0.0,,1168.0,,3.0
서울시,강동구,2007,,1443.0,,132.0,,109.0,,98.0,,1104.0,,3.0
서울시,강동구,2008,,1262.0,,239.0,,112.0,,99.0,,813.0,,4.0
서울시,강동구,2009,,1641.0,,172.0,,117.0,,165.0,,1188.0,,5.0
서울시,강동구,2010,1050.7,907.0,140.2,18.1,118.3,118.3,155.2,155.2,637.0,615.4,8.2,1.5
서울시,강동구,2011,914.4,772.1,136.7,15.2,126.0,126.0,8.6,8.6,643.1,622.3,9.1,3.5
서울시,강동구,2012,965.1,839.2,137.7,26.2,120.9,120.9,106.8,100.4,599.7,591.7,11.6,4.5
서울시,강동구,2013,1782.0,1647.2,124.8,10.3,121.6,121.6,143.0,125.7,1392.6,1389.6,10.3,1.3
서울시,강동구,2014,1065.9,932.2,267.2,148.9,125.4,125.4,17.3,13.0,656.0,644.9,12.5,5.0
서울시,강동구,2015,1363.7,1243.7,280.9,173.1,131.5,131.5,,,951.3,939.1,13.7,3.7
서울시,강동구,2016,3630.2,3440.0,377.7,268.9,122.5,122.5,295.9,241.5,2834.1,2807.1,13.3,3.7
서울시,강동구,2017,2313.3,2192.3,260.5,165.3,114.5,114.5,24.0,23.8,1914.3,1888.7,10.7,3.1
서울시,강동구,2018,2328.3,2196.2,260.2,158.6,109.9,109.9,116.0,115.7,1842.2,1812.0,11.5,2.0
서울시,강동구,2019,4535.3,4352.8,306.4,169.6,113.5,113.5,389.0,355.4,3726.4,3714.3,20.2,3.3
서울시,강북구,2000,,744.0,,245.0,,,,,,499.0,,
서울시,강북구,2001,,1025.0,,238.0,,,,,,787.0,,
서울시,강북구,2002,,835.0,,233.0,,,,,,602.0,,
서울시,강북구,2003,,440.0,,192.0,,,,,,248.0,,
서울시,강북구,2004,,513.0,,152.0,,48.0,,,,313.0,,2.0
서울시,강북구,2005,,1289.0,,154.0,,83.0,,,,1052.0,,1.0
서울시,강북구,2006,,657.0,,144.0,,81.0,,1.0,,432.0,,1.0
서울시,강북구,2007,,872.0,,146.0,,85.0,,,,641.0,,2.0
서울시,강북구,2008,,1028.0,,144.0,,88.0,,,,796.0,,2.0
서울시,강북구,2009,,942.0,,134.0,,90.0,,,,719.0,,2.0
서울시,강북구,2010,901.2,792.1,144.9,56.9,88.5,88.5,,,667.8,646.7,5.5,3.8
서울시,강북구,2011,798.9,683.0,154.5,69.2,88.4,88.4,37.0,37.0,519.0,488.4,12.9,3.1
서울시,강북구,2012,875.6,794.2,152.8,74.7,89.7,89.7,16.0,16.0,617.1,613.8,5.7,3.4
서울시,강북구,2013,832.6,754.4,144.9,68.4,87.7,87.7,12.8,12.8,587.2,585.5,5.2,3.5
서울시,강북구,2014,744.2,661.2,144.3,62.6,87.7,87.7,10.4,10.4,501.8,500.5,3.1,1.5
서울시,강북구,2015,1049.9,970.6,141.6,64.1,88.6,88.6,,,819.7,817.9,5.7,1.9
서울시,강북구,2016,885.1,808.2,145.5,70.3,84.5,84.5,,,655.1,653.4,3.9,1.7
서울시,강북구,2017,908.1,835.6,146.1,74.9,78.8,78.8,,,683.2,681.9,3.3,1.3
서울시,강북구,2018,832.8,755.8,154.7,79.5,75.9,75.9,,,602.2,600.4,3.5,1.1
서울시,강북구,2019,847.5,770.8,177.7,101.8,73.5,73.5,,,596.3,595.5,3.5,1.3
서울시,강서구,2000,,1182.0,,249.0,,,,35.0,,898.0,,
서울시,강서구,2001,,3436.0,,287.0,,,,21.0,,3127.0,,
서울시,강서구,2002,,3737.0,,296.0,,,,14.0,,3427.0,,
서울시,강서구,2003,,1172.0,,358.0,,,,127.0,,688.0,,
서울시,강서구,2004,,2437.0,,188.0,,112.0,,77.0,,2061.0,,4.0
서울시,강서구,2005,,1583.0,,164.0,,174.0,,209.0,,1036.0,,3.0
서울시,강서구,2006,,3487.0,,173.0,,189.0,,9.0,,3117.0,,2.0
서울시,강서구,2007,,1756.0,,148.0,,191.0,,164.0,,1253.0,,3.0
서울시,강서구,2008,,1920.0,,173.0,,205.0,,276.0,,1265.0,,3.0
서울시,강서구,2009,,1595.0,,237.0,,213.0,,253.0,,892.0,,2.0
서울시,강서구,2010,3354.0,2434.1,456.7,235.3,214.7,214.7,753.1,118.3,1929.5,1865.8,9.9,2.8
서울시,강서구,2011,4880.2,3596.3,225.7,112.0,204.1,204.1,695.6,25.3,3754.8,3254.9,16.1,7.5
서울시,강서구,2012,3737.5,2236.8,199.5,86.5,199.6,199.6,772.3,212.0,2566.1,1738.7,7.1,2.2
서울시,강서구,2013,3174.1,2144.3,199.5,81.6,170.7,161.1,726.5,250.5,2077.4,1651.1,8.8,1.5
서울시,강서구,2014,3225.7,2401.7,266.7,135.3,170.1,170.1,643.8,126.8,2145.1,1969.5,7.9,2.9
서울시,강서구,2015,3970.2,2606.8,255.4,127.9,178.8,178.8,674.7,126.0,2861.3,2174.1,7.2,2.2
서울시,강서구,2016,3846.3,2759.0,245.4,110.9,179.9,179.9,658.0,120.8,2763.0,2347.4,8.5,2.1
서울시,강서구,2017,3897.1,2882.9,295.2,160.9,168.5,168.5,712.3,121.7,2721.1,2431.8,8.2,2.1
서울시,강서구,2018,3779.2,2774.9,316.9,173.3,163.1,163.1,687.9,135.7,2611.3,2302.8,12.6,4.6
서울시,강서구,2019,2938.2,2210.5,434.4,281.2,165.0,165.0,515.0,55.4,1823.8,1708.9,11.3,3.3
서울시,관악구,2000,,294.0,,166.0,,,,,,128.0,,
서울시,관악구,2001,,366.0,,173.0,,,,,,193.0,,
서울시,관악구,2002,,810.0,,217.0,,,,,,593.0,,
서울시,관악구,2003,,600.0,,280.0,,,,,,320.0,,
서울시,관악구,2004,,772.0,,247.0,,90.0,,,,435.0,,3.0
서울시,관악구,2005,,796.0,,244.0,,118.0,,,,434.0,,2.0
서울시,관악구,2006,,1016.0,,257.0,,130.0,,3.0,,626.0,,1.0
서울시,관악구,2007,,1049.0,,253.0,,134.0,,,,662.0,,3.0
서울시,관악구,2008,,1082.0,,257.0,,129.0,,,,696.0,,1.0
서울시,관악구,2009,,1338.0,,200.0,,126.0,,2.0,,1010.0,,2.0
서울시,관악구,2010,1252.9,1052.9,212.0,35.0,128.0,128.0,16.0,,896.9,889.9,5.9,2.5
서울시,관악구,2011,1128.6,959.1,225.9,62.3,95.1,95.1,,,807.6,801.7,4.6,1.3
서울시,관악구,2012,1201.4,1060.8,196.0,65.9,121.6,121.6,2.9,2.9,880.9,870.4,6.3,2.6
서울시,관악구,2013,1169.2,1024.1,200.1,64.5,115.4,115.4,2.4,2.4,851.3,841.8,7.3,3.2
서울시,관악구,2014,1112.8,969.4,235.2,99.1,119.1,119.1,3.5,3.5,755.0,747.7,6.5,1.8
서울시,관악구,2015,1319.5,1185.9,221.1,92.9,116.8,116.8,18.6,18.6,963.0,957.6,8.2,2.9
