광역시도,자치구,연도,재활용률,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량
서울시,강남구,2020,92.5,2015276,1863769,254317,166714,149499,88067.0,1611460,1608988,18547,1397
서울시,강남구,2021,89.0,1530852,1361803,248001,161619,150248,71937.0,1132603,1128246,20172,2217
서울시,강남구,2022,88.0,1345308,1183372,263297,163224,148711,88288.0,933301,931860,19656,1204
서울시,강남구,2023,84.4,1242720,1048413,261425,161437,154303,62105.0,826993,824871,18166,1131
서울시,강남구,2024,83.7,1049720,878728,266815,169222,151389,78396.0,631516,631110,18614,1406
서울시,강동구,2020,94.7,1007193,953590,134696,90881,114885,107411.0,757613,755298,5259,1551
서울시,강동구,2021,94.4,1087820,1027200,146616,97802,104025,93768.0,837179,835630,5639,1740
서울시,강동구,2022,94.3,753567,710501,126256,90128,105328,98728.0,521982,521646,4733,1588
서울시,강동구,2023,92.8,589260,546547,122793,87690,95364,88299.0,371103,370558,4949,1759
서울시,강동구,2024,90.2,523007,471647,129564,84538,92905,86982.0,300538,300127,4468,1738
서울시,강북구,2020,88.0,305460,268679,88989,53419,702,29.0,215768,215232,1351,458
서울시,강북구,2021,91.4,360811,329745,94407,63804,386,,266018,265940,1604,519
서울시,강북구,2022,89.4,269837,241345,89627,61272,666,666.0,179543,179407,1616,502
서울시,강북구,2023,87.3,211964,184974,88886,62128,412,192.0,122666,122655,1492,578
서울시,강북구,2024,89.3,247351,220965,83607,57254,45,45.0,163698,163666,1760,912
서울시,강서구,2020,73.9,1799251,1330417,192797,133861,300172,37894.0,1306283,1158663,4692,1180
서울시,강서구,2021,57.0,1805962,1029615,751795,212856,283001,49136.0,771167,767623,5052,1267
서울시,강서구,2022,71.8,1707507,1225583,585756,274273,245427,75159.0,876324,876151,5221,1398
서울시,강서구,2023,70.8,1737168,1229541,490315,221810,355548,117035.0,891305,890697,5157,1161
서울시,강서구,2024,67.8,1851172,1254984,590910,270188,394974,120157.0,865288,864639,6893,1979
서울시,관악구,2020,92.5,594421,550115,146977,103521,355,299.0,447090,446296,2654,1140
서울시,관악구,2021,90.6,631167,572074,146143,87868,12576,12565.0,472448,471641,3081,1197
서울시,관악구,2022,89.4,489967,437884,161574,109513,230,230.0,328164,328142,3025,1027
서울시,관악구,2023,87.6,398470,348919,146875,97385,857,846.0,250737,250688,2818,855
서울시,관악구,2024,88.8,345294,306716,149864,111384,749,708.0,194682,194624,2793,864
서울시,광진구,2020,92.8,577749,536415,125579,87415,12796,12629.0,439375,436370,2310,525
서울시,광진구,2021,93.3,441364,411748,91428,62681,2458,2352.0,347478,346716,2742,693
서울시,광진구,2022,92.6,346006,320483,120644,95246,2278,2214.0,223084,223023,2775,549
서울시,광진구,2023,83.0,219608,182281,104709,67412,2011,1994.0,112888,112875,2412,556
서울시,광진구,2024,86.1,263852,227069,107234,71082,1264,646.0,155354,155341,2216,483
서울시,구로구,2020,85.0,464794,394853,120646,63150,749,618.0,343400,331085,3141,909
서울시,구로구,2021,81.9,443574,363386,136224,76846,980,867.0,306369,285674,3901,1112
서울시,구로구,2022,89.4,509276,455054,134033,80101,1581,1493.0,373662,373460,3636,1089
서울시,구로구,2023,88.2,442207,389916,171610,119509,1504,1371.0,269093,269036,3443,979
서울시,구로구,2024,81.6,298919,243815,122831,71343,4102,734.0,171986,171739,3490,1159
서울시,금천구,2020,95.9,1386371,1329639,100451,69075,3226,2662.0,1282695,1257902,2514,995
서울시,금천구,2021,89.3,491736,439256,98645,62226,447,142.0,392645,376888,2595,1037
서울시,금천구,2022,91.6,416510,381317,99931,65228,1291,897.0,315288,315193,2873,1220
서울시,금천구,2023,89.9,364034,327268,101244,64988,858,361.0,261932,261919,2818,1011
서울시,금천구,2024,85.1,222620,189467,96694,64032,3077,2620.0,122849,122816,2969,1157
서울시,노원구,2020,82.6,399687,330209,144500,102566,26478,375.0,228709,227268,5946,729
서울시,노원구,2021,83.0,392900,326057,135900,95590,27013,1088.0,229987,229380,5808,744
서울시,노원구,2022,88.7,558725,495693,145778,106889,24876,969.0,388071,387836,4716,692
서울시,노원구,2023,86.7,485244,420832,140139,102671,38244,11579.0,306861,306582,2998,753
서울시,노원구,2024,78.0,359945,280795,150001,96090,26136,1017.0,183808,183688,3058,768
서울시,도봉구,2020,88.1,470991,415042,110126,72850,29365,23200.0,331501,318992,1426,433
서울시,도봉구,2021,88.2,331240,292070,91929,53467,282,265.0,239030,238338,1476,450
서울시,도봉구,2022,91.2,276204,251984,94263,70069,1262,1253.0,180679,180663,1449,406
서울시,도봉구,2023,77.5,198114,153461,102431,58070,453,453.0,95230,94939,1849,410
서울시,도봉구,2024,95.2,551322,524656,88094,61429,19,19.0,463209,463209,1400,467
서울시,동대문구,2020,96.6,1181025,1140352,161082,121098,9323,9298.0,1010620,1009956,3700,814
서울시,동대문구,2021,93.6,667636,625221,116867,75504,8195,8195.0,542574,541522,3629,823
서울시,동대문구,2022,91.8,538762,494521,108075,68325,14557,10071.0,416130,416125,3246,816
서울시,동대문구,2023,86.4,321878,278213,113337,72494,11904,9148.0,196638,196571,3303,726
서울시,동대문구,2024,88.0,338410,297687,112593,73460,7696,6656.0,218121,217571,3440,881
서울시,동작구,2020,92.6,468426,433566,118757,86746,961,932.0,348708,345888,3509,509
서울시,동작구,2021,90.0,370047,332920,108554,71943,1524,1477.0,259969,259500,3786,936
서울시,동작구,2022,89.4,388357,347338,118013,77044,2165,2141.0,268178,268154,3337,661
서울시,동작구,2023,90.9,408834,371481,116719,79700,572,559.0,291544,291222,3192,535
서울시,동작구,2024,96.0,984321,945197,119527,80659,2403,2387.0,862392,862151,2762,513
서울시,마포구,2020,90.3,593514,535849,134108,79919,25041,22788.0,434365,433141,8820,1708
서울시,마포구,2021,76.2,508893,387989,199008,79714,25993,24879.0,283893,283396,7809,1237
서울시,마포구,2022,89.5,633982,567724,152394,88134,25892,23973.0,455696,455618,7235,1239
서울시,마포구,2023,88.7,531689,471676,135308,83318,34226,26254.0,362155,362105,2771,1277
서울시,마포구,2024,84.6,425899,360360,142121,85360,35718,26941.0,248059,248059,2817,1511
서울시,서대문구,2020,83.8,280600,235085,104413,64333,3438,352.0,172749,170400,5909,472
서울시,서대문구,2021,88.9,358228,318392,96768,57786,1383,944.0,260077,259662,6565,499
서울시,서대문구,2022,84.6,263130,222630,107631,67206,172,109.0,155327,155315,6317,512
서울시,서대문구,2023,84.8,271856,230597,97594,60677,4362,21.0,169900,169900,6575,619
서울시,서대문구,2024,80.6,190426,153568,99837,63501,751,310.0,89839,89757,5832,528
서울시,서초구,2020,91.0,859429,781700,184761,109206,2669,1748.0,671999,670747,10941,4148
서울시,서초구,2021,95.2,1599770,1522493,177110,108844,9292,1033.0,1413368,1412617,12439,4222
서울시,서초구,2022,93.1,1026077,955686,180281,112992,6002,3017.0,839794,839678,15586,4552
서울시,서초구,2023,94.9,1335933,1268460,178090,111677,14327,13271.0,1143517,1143512,11810,3936
서울시,서초구,2024,94.4,1213113,1145043,180257,113288,4951,4003.0,1027905,1027753,11681,4393
서울시,성동구,2020,79.3,850901,675122,110224,73914,80560,31023.0,660116,570186,5207,2369
서울시,성동구,2021,88.0,1329246,1169838,99225,68206,122136,83058.0,1107885,1018574,6068,2597
서울시,성동구,2022,92.5,1081741,1000598,104584,66623,189274,157251.0,787883,776724,5293,1967
서울시,성동구,2023,91.3,945393,863110,106823,68206,96361,54545.0,742208,740360,5088,2133
서울시,성동구,2024,92.7,1022469,947740,159245,120565,111943,75960.0,751281,751215,4947,2237
서울시,성북구,2020,90.0,434220,390779,132342,90004,2406,2398.0,299472,298377,3186,457
서울시,성북구,2021,94.2,613842,577995,136000,100565,3657,3629.0,474185,473801,3239,494
서울시,성북구,2022,93.0,583781,542948,125909,85083,620,612.0,457253,457253,3533,549
서울시,성북구,2023,87.2,315847,275314,123724,83204,5042,5032.0,187081,187078,3347,540
서울시,성북구,2024,91.5,360312,329755,117738,87203,8729,8721.0,233845,233831,3289,578
서울시,송파구,2020,93.1,1550391,1442997,266247,198010,31090,19702.0,1253053,1225285,13128,2358
서울시,송파구,2021,90.1,1097905,988953,253209,173237,37277,34863.0,807419,780853,11586,2170
서울시,송파구,2022,85.6,898991,769201,301830,177052,70684,65984.0,526477,526166,10960,1646
서울시,송파구,2023,83.3,675848,563083,262182,156087,83756,77380.0,329910,329617,10758,1982
서울시,송파구,2024,84.3,722918,609502,268890,162401,77516,70720.0,376512,376381,9108,2176
서울시,양천구,2020,87.2,452105,394133,144360,104623,15876,514.0,291869,288996,5935,665
서울시,양천구,2021,84.3,396564,334463,128894,86602,18134,730.0,249536,247131,3896,647
서울시,양천구,2022,79.6,304154,242188,123688,80582,26016,7159.0,154450,154447,2803,675
서울시,양천구,2023,77.0,244751,188397,115678,78725,21244,1842.0,107829,107829,3023,786
서울시,양천구,2024,79.1,329437,260506,121756,72237,19846,438.0,187835,187832,3383,817
서울시,영등포구,2020,92.4,783413,724246,164492,108772,20695,20504.0,598226,594970,5778,1056
서울시,영등포구,2021,92.0,697666,641902,161206,112103,16433,15922.0,520027,513877,5380,1139
서울시,영등포구,2022,92.8,820843,761703,167303,113275,31221,26187.0,622319,622241,4808,1250
서울시,영등포구,2023,90.6,562288,509396,166688,114964,16535,16149.0,379065,378282,4831,1354
서울시,영등포구,2024,91.2,588576,536932,158377,106906,16008,15870.0,414191,414156,4706,1354
서울시,용산구,2020,88.7,382283,339171,110255,72190,5023,4709.0,267005,262272,2976,1400
서울시,용산구,2021,92.8,568349,527388,107173,68334,204139,203377.0,257038,255678,2331,821
서울시,용산구,2022,95.8,947105,907608,216363,178471,365558,365180.0,365184,363958,2603,770
서울시,용산구,2023,95.5,859006,820708,208742,171993,240879,240358.0,409386,408357,2818,1037
서울시,용산구,2024,91.3,421774,384982,103895,67515,43457,43190.0,274422,274278,2273,552
서울시,은평구,2020,92.2,786241,725137,139243,81603,1442,1442.0,645555,642091,2980,625
서울시,은평구,2021,88.3,474065,418589,138304,83540,82,72.0,335679,334977,3905,669
