"동별(1)","동별(2)",시점,세대 (세대),합계,합계,한국인,한국인,외국인,외국인
"동별(1)","동별(2)",시점,소계,남자,여자,남자,여자,남자,여자
"합계","소계",2020. 01,4334918,4879357,5137658,4745088,4988421,134269,149237
"합계","소계",2020. 02,4345877,4879577,5140430,4745133,4991829,134444,148601
"합계","소계",2020. 03,4354006,4874995,5138786,4742217,4991438,132778,147348
"합계","소계",2020. 04,4361645,4869096,5133550,4737843,4988944,131253,144606
"합계","소계",2020. 05,4373610,4863397,5127535,4735431,4989065,127966,138470
"합계","소계",2020. 06,4384076,4859501,5126151,4732275,4988571,127226,137580
"합계","소계",2020. 07,4391545,4854059,5121577,4728872,4986557,125187,135020
"합계","소계",2020. 08,4400154,4847537,5116114,4724585,4983662,122952,132452
"합계","소계",2020. 09,4405833,4840912,5112097,4719170,4980062,121742,132035
"합계","소계",2020. 10,4408498,4833897,5106841,4713716,4975443,120181,131398
"합계","소계",2020. 11,4412343,4826064,5101634,4708321,4971450,117743,130184
"합계","소계",2020. 12,4417954,4816522,5094566,4701723,4966742,114799,127824
"합계","소계",2021. 01,4421022,4807790,5087664,4695999,4961970,111791,125694
"합계","소계",2021. 02,4427814,4799707,5082291,4690282,4958324,109425,123967
"합계","소계",2021. 03,4400403,4774856,5053238,4667524,4930960,107332,122278
"합계","소계",2021. 04,4403263,4769301,5050550,4661711,4927000,107590,123550
"합계","소계",2021. 05,4403381,4762611,5044117,4654720,4920635,107891,123482
"합계","소계",2021. 06,4405638,4756178,5039248,4649442,4916548,106736,122700
"합계","소계",2021. 07,4409964,4751013,5034252,4645177,4912976,105836,121276
"합계","소계",2021. 08,4416816,4745225,5029146,4640740,4909487,104485,119659
"합계","소계",2021. 09,4421143,4739972,5025897,4636069,4906187,103903,119710
"합계","소계",2021. 10,4422587,4734935,5024211,4630630,4901798,104305,122413
"합계","소계",2021. 11,4424222,4729428,5021419,4624290,4896590,105138,124829
