자치구,대행업체,"일반쓰레기,음식물쓰레기",재활용,대형폐기물,수거지역,비고
종로구,㈜더에코브릿지,Y,Y,,"청운효자동, 사직동, 삼청동, 부암동 평창동, 무악동, 교남동, 가회동
종로1·2·3·4가동(우정국로 좌측)",
종로구,함께하는 지구사랑㈜,Y,Y,,"종로1·2·3·4가동(우정국로 좌측 제외) 종로5·6가동(연지동)
혜화동(명륜3가, 명륜4가)
이화동(연건동)",
종로구,심창기업㈜,Y,Y,,"혜화동(명륜1가,명륜2가,혜화) 
종로5·6가동(연지동 제외) 
이화동(동숭·이화) 
창신1∼3동, 숭인1∼2동",
중구,하경기업㈜,Y,Y,Y,"소공동, 회현동, 중림동",
중구,수도환경㈜,Y,Y,Y,"명동, 을지로동",
중구,동은환경㈜,Y,Y,Y,"필동, 장충동, 광희동, 다산동",
중구,동보환경㈜,Y,Y,Y,"신당동, 약수동, 청구동, 신당5동, 동화동, 황학동",
중구,남부환경㈜,,,Y,중구 전체,
용산구,대서환경,Y,Y,Y,"후암동, 남영동, 청파동, 효창동, 원효1동, 용문동",
용산구,나선기업,Y,Y,Y,"용산2가동, 한강로동, 이태원1동,
이태원2동, 서빙고동, 보광동, 한남동",
용산구,강남용역,Y,Y,Y,"원효2동, 이촌1동, 이촌2동, 한강로동",
성동구,㈜고려도시개발,Y,,," 성수1가2동 일부(방통대 주변),    
 성수2가1동, 성수2가3동,     
 옥수동(옥수리버젠,옥수파크힐스)",
성동구,㈜성동환경,Y,,,"마장동, 응봉동,       
 옥수동(리버젠,파크힐스 제외),         
 금호4가동, 금호3가동,      
 용답동(자동차매매센터)",
성동구,(주)나라환경산업,Y,,," 행당1동, 성수1가1동, 용답동,   
 사근동, 왕십리도선동",
성동구,신흥환경㈜,Y,,,"송정동, 행당2동, 
 성수1가2동 일부(JDX),
 왕십리1, 2동
 금호1가동, 금호2가동",
성동구,㈜천일에너지 성수센터,,,Y,전지역,
광진구,㈜대아EDI,Y,Y,,"중곡1,2,3,4동",
광진구,㈜로칼크린,Y,Y,,"구의1,2,3동,광장동",
광진구,㈜경동사,Y,Y,,"자양1,2,3,4동",
광진구,(주)장수환경,Y,Y,,"능동,화양동,군자동",
동대문구,제일환경㈜,Y,Y,Y,"용신동, 제기동,청량리동, 회기동",
동대문구,용마산업㈜,Y,Y,Y,"휘경1동, 휘경2동, 이문1동, 이문2동",
동대문구,㈜그린들리,Y,Y,Y,"답십리2동, 장안1동, 장안2동",
동대문구,그린환경개발㈜,Y,Y,Y,"답십리1동, 장안1동, 전동2동",
중랑구,용마용역㈜,Y,Y,Y,"중화1, 2동, 묵1, 2동, 신내1,2동",
중랑구,중랑환경㈜,Y,Y,Y,"면목2, 4동, 면목5, 7동, 상봉 1,2동",
중랑구,우리환경㈜,Y,Y,Y,"면목본동, 면목3ㆍ8동, 망우본동, 
망우3동",
성북구,철한정화기업,Y,Y,,"성북동, 삼선동, 동선동, 돈암1동, 돈암2동, 안암동, 보문동",
성북구,강남환경개발,Y,Y,,"종암동, 월곡2동, 장위1동, 장위2동, 장위3동, 석관동",
