시군명,사업장명,전화번호,처리업종구분명,처리대상폐기물정보,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
가평군,화성환경,,①ⓒ,,12451,경기도 가평군 청평면 청평리 301-4번지 503-10,"경기도 가평군 청평면 경춘로 871, 503-10",37.74146102,127.4228532
가평군,케이에이치원무역,,⑧,,12434,경기도 가평군 조종면 신상리 694-13번지,경기도 가평군 조종면 세곡로 165,37.83399339,127.3306152
가평군,아폴로산업,031-585-5530,⑦,,12471,경기도 가평군 설악면 설곡리 790-1번지,경기도 가평군 설악면 장수로 180,37.61830001,127.5075354
가평군,화악농장,,⑧,,12402,경기도 가평군 북면 화악리 521-4번지,경기도 가평군 북면 화악산로 557,37.92800512,127.5639486
가평군,경반축산,031-582-6657,⑧,,12415,경기도 가평군 가평읍 경반리 454-4번지,경기도 가평군 가평읍 경반안로 161,37.83105904,127.4872498
가평군,쉬리목장,,⑧,,12436,경기도 가평군 조종면 신하리 468번지,경기도 가평군 조종면 연인산로 68-6,37.82314117,127.3575694
가평군,㈜협신,031-585-5511,⑨,,12440,경기도 가평군 상면 봉수리 15-2번지,경기도 가평군 상면 물골길 84-50,37.83621955,127.3184613
가평군,정풍산업,031-582-6945,①ⓐ,,12417,경기도 가평군 가평읍 읍내리 495-31번지,경기도 가평군 가평읍 석봉로 173,37.8304644,127.5104433
가평군,서희메탈,031-793-0322,①ⓐ,,12471,경기도 가평군 설악면 설곡리 845번지,경기도 가평군 설악면 장수로 203,37.61915645,127.504306
가평군,월드환경㈜,031-568-4570,①ⓐ,,12414,경기도 가평군 가평읍 읍내리 585-3번지 104호,"경기도 가평군 가평읍 문화로 218-23, 104호",37.83245653,127.5075685
가평군,영웅산업,,①ⓐ,,12441,경기도 가평군 상면 율길리 409-1번지,경기도 가평군 상면 청군로 2038,37.83315462,127.2910017
가평군,가람,,①ⓐ,,12437,경기도 가평군 조종면 현리 275-9번지 1층,"경기도 가평군 조종면 현창로44번길 19, 1층",37.82037266,127.349144
가평군,우리자원,,①ⓐ,,12434,경기도 가평군 조종면 신상리 343-1번지 2층,"경기도 가평군 조종면 운악청계로 219, 2층",37.83662527,127.3506338
가평군,나눔자원,,①ⓐ,,12438,경기도 가평군 조종면 현리 296-2번지,경기도 가평군 조종면 청군로 1289,37.81938618,127.3460215
가평군,가야환경산업,,①ⓑ,,12441,경기도 가평군 상면 율길리 352번지,경기도 가평군 상면 청군로 2021,37.83182211,127.2918123
가평군,다모아,,①ⓑ,,12437,경기도 가평군 조종면 현리 324-8번지 삼미타운 105호,"경기도 가평군 조종면 현창로 71, 105호",37.82027873,127.3462128
가평군,㈜가남환경,031-581-3813,①ⓒ,,12426,경기도 가평군 가평읍 상색리 349번지,경기도 가평군 가평읍 상천고갯길 244,37.79220966,127.4724458
가평군,우주산업개발,031-581-5551,①ⓐ,,12453,경기도 가평군 청평면 청평리 168-1번지,경기도 가평군 청평면 청평역로 102-14,37.73738174,127.4288045
가평군,그린컴퍼니,,①ⓐ,,12441,경기도 가평군 상면 율길리 458-23,경기도 가평군 상면 율길리 458-23,37.84012576,127.2881862
