시설명,소재지도로명주소,소재지지번주소,위도,경도,업종명,전문처리분야명,처리폐기물정보,영업구역,시설·장비명,허가일자,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
동진산업,경상북도 청송군 현동면 청송로 2716-22,,36.28919326,129.0249183,폐기물중간재활용업,파쇄,51-20-21,경상북도 청송군청,파쇄·분쇄시설,2013-07-17,054-872-8551,경상북도 청송군청,2025-12-24,5160000,경상북도 청송군
한라환경산업㈜,제주특별자치도 서귀포시 인정오름로 86번길 63,,33.29240648,126.576083,폐기물중간처분업,,51-22-01+52-23-00+51-24-00+51-25-00+51-26-00+40-04-10+51-21-02+51-33-00+51-32-00+40-04-14,,,2020-11-13,,제주특별자치도 서귀포시청,2025-12-10,6520000,제주특별자치도 서귀포시
이도에코표선 주식회사,제주특별자치도 서귀포시 표선면 세성로 650,,33.35852043,126.798656,폐기물중간처분업,,51-22-01+52-23-00+51-24-00+51-25-00+51-26-00+51-21-02+40-04-14,,,2013-03-06,,제주특별자치도 서귀포시청,2025-12-10,6520000,제주특별자치도 서귀포시
성진산업㈜,제주특별자치도 서귀포시 남원읍 위미항구로 502,,33.31765557,126.6454191,폐기물중간처분업,,51-22-01+52-23-00+51-24-00+51-25-00+51-26-00+40-04-10+51-21-02+51-33-00+51-32-00+40-04-14,,,2012-06-12,,제주특별자치도 서귀포시청,2025-12-10,6520000,제주특별자치도 서귀포시
일승산업㈜,제주특별자치도 서귀포시 성산읍 중산간동로 4364-64,,33.39140232,126.823953,폐기물중간처분업,,51-22-01+52-23-00+51-24-00+51-25-00+51-26-00+40-04-10+51-21-02+51-33-00+51-32-00+40-04-14,,,2011-01-18,,제주특별자치도 서귀포시청,2025-12-10,6520000,제주특별자치도 서귀포시
서귀포산업 주식회사,제주특별자치도 서귀포시 산록남로 1241번길 168,,33.30854591,126.4205082,폐기물중간처분업,,51-22-01+51-23-00+51-24-00+51-25-00+51-26-00+51-21-02+51-33-00+51-32-00+40-04-14,,,2010-06-01,,제주특별자치도 서귀포시청,2025-12-10,6520000,제주특별자치도 서귀포시
혁신환경,제주특별자치도 서귀포시 동홍동로 26번길 8,,33.257222,126.575767,폐기물수집및운반업,,51-22-01+52-23-00+51-24-00+51-25-00+51-26-00+40-02-06+40-02-07+40-02-08+51-28-03+51-02-05+40-03-11+5,,,2011-08-01,,제주특별자치도 서귀포시청,2025-12-10,6520000,제주특별자치도 서귀포시
주식회사 삼보,"경기도 성남시 중원구 둔촌대로 155-1, 중원빌딩 4층 401호 (성남동)",,37.429627,127.136074,폐기물수집및운반업,,40-01-01+40-01-02+40-01-03+40-01-04+40-01-05+40-02-06+40-04-14+40-04-13+40-03-12+40-03-11+40-03-10+4,,,2008-03-04,031-747-8567,경기도 성남시청,2025-12-19,3780000,경기도 성남시
주식회사상록수환경,"경기도 성남시 수정구 모란로 75-1 (태평동,지층)",,37.439848,127.125676,폐기물수집및운반업,,40-01-01+40-01-02+40-01-03+40-01-04+40-01-05+40-02-06+40-04-12+40-04-11+40-04-10+40-04-14+40-04-13+4,,,2007-12-28,031-757-4106,경기도 성남시청,2025-12-19,3780000,경기도 성남시
서진건설환경(주),"경기도 성남시 중원구 마지로163번길 13, 102호 (하대원동, 가나아파트)",,37.426876,127.148569,폐기물수집및운반업,,40-01-01+40-01-02+40-01-03+40-01-04+40-01-05+40-02-06+40-90-90+40-04-14+40-04-13+40-03-12+40-03-11+4,,,2005-07-15,031-754-2061,경기도 성남시청,2025-12-19,3780000,경기도 성남시
