구분,시설명,위치,규모(㎏/h),시설용량(톤/일),설치신고일,사용개시일,비고
합계,11개소,,"45,364.25","1,111.20",,,
천안,환경에너지사업소,서북구 백석동 531,"13,334",320,99.08.10,01.11.10,
천안,환경에너지사업소,서북구 백석동 531,"10,417",250,13.03.15,15.09.15,
공주,공주시청,검상동 326,"2,083",50,00.12.30,01.05.25,
보령,생활폐기물종합처리장,남곡동 1140-6,"2,083",50,05.07.01,06.08.31,
아산,환경과학공원,배미로 154,"8,333",200,08.10.15,11.06.15,통합허가
논산,환경자원화센터,은진면 버들길 137,"2,083",50,04.06.15,06.04.29,
계룡,계룡시청,두마면 입암리 516,"1,300",31.2,05.03.23,06.08.05,
금산,생활페기물소각시설,추부면 용지리 432-2,1.25,30,17.04.17,19.05.14,
서천,자원순환센터,비인면 관리 547-1,"1,250",30,13.12.13,15.12.28,
청양,환경사업소,청양읍 벽천리 109-8,938,15,01.12.04,04.02.04,
예산,맑은물누리센터,대흥면 대률리 산51-1,"1,667",40,04.05.07,05.12.13,
태안,환경관리사업소,태안읍 삭선리 21-3,"1,875",45,00.01.22,03.06.09,
