"시점","자치구별(1)",자치구별(2),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A) (%),배출량(C) (톤/일),처리량(D) (톤/일),수거율(D/C) (%),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일)
"시점","자치구별(1)",자치구별(2),면적 (㎢),인구 (명),면적 (㎢),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,해역배출,기타
"2000","합계",소계,605.50,10373234,605.50,10373234,100.0,32192.0,32192.0,100.0,32192.0,12045.0,934.0,18179.0,1034.0,-
"2000","합계",종로구,23.91,188946,23.91,188946,100.0,544.0,544.0,100.0,544.0,351.0,2.0,191.0,-,-
"2000","합계",중구,9.96,144074,9.96,144074,100.0,1160.0,1160.0,100.0,1160.0,509.0,1.0,650.0,-,-
"2000","합계",용산구,21.87,248794,21.87,248794,100.0,2406.0,2406.0,100.0,2406.0,229.0,9.0,2168.0,-,-
"2000","합계",성동구,16.84,342508,16.84,342508,100.0,1518.0,1518.0,100.0,1518.0,534.0,11.0,637.0,336.0,-
"2000","합계",광진구,17.05,393055,17.05,393055,100.0,782.0,782.0,100.0,782.0,365.0,71.0,346.0,-,-
"2000","합계",동대문구,14.22,382122,14.22,382122,100.0,1414.0,1414.0,100.0,1414.0,671.0,26.0,717.0,-,-
"2000","합계",중랑구,18.51,459255,18.51,459255,100.0,1000.0,1000.0,100.0,1000.0,469.0,131.0,400.0,-,-
"2000","합계",성북구,24.57,463488,24.57,463488,100.0,1404.0,1404.0,100.0,1404.0,294.0,3.0,1107.0,-,-
"2000","합계",강북구,23.61,352772,23.61,352772,100.0,1072.0,1072.0,100.0,1072.0,327.0,1.0,744.0,-,-
"2000","합계",도봉구,20.81,371932,20.81,371932,100.0,1620.0,1620.0,100.0,1620.0,651.0,3.0,966.0,-,-
"2000","합계",노원구,35.42,634068,35.42,634068,100.0,1090.0,1090.0,100.0,1090.0,272.0,245.0,573.0,-,-
"2000","합계",은평구,29.72,470747,29.72,470747,100.0,1030.0,1030.0,100.0,1030.0,497.0,2.0,531.0,-,-
"2000","합계",서대문구,17.60,373105,17.60,373105,100.0,542.0,542.0,100.0,542.0,266.0,6.0,270.0,-,-
"2000","합계",마포구,23.88,390101,23.88,390101,100.0,1503.0,1503.0,100.0,1503.0,645.0,2.0,856.0,-,-
"2000","합계",양천구,17.40,488282,17.40,488282,100.0,1307.0,1307.0,100.0,1307.0,206.0,251.0,850.0,-,-
"2000","합계",강서구,41.39,522962,41.39,522962,100.0,2714.0,2714.0,100.0,2714.0,1104.0,11.0,1182.0,417.0,-
"2000","합계",구로구,20.11,404786,20.11,404786,100.0,663.0,663.0,100.0,663.0,195.0,61.0,402.0,5.0,-
"2000","합계",금천구,13.00,268768,13.00,268768,100.0,782.0,782.0,100.0,782.0,292.0,11.0,479.0,-,-
"2000","합계",영등포구,24.57,409399,24.57,409399,100.0,1367.0,1367.0,100.0,1367.0,503.0,4.0,860.0,-,-
"2000","합계",동작구,16.35,417396,16.35,417396,100.0,1130.0,1130.0,100.0,1130.0,768.0,6.0,356.0,-,-
"2000","합계",관악구,29.57,525926,29.57,525926,100.0,1337.0,1337.0,100.0,1337.0,1037.0,6.0,294.0,-,-
"2000","합계",서초구,47.14,401858,47.14,401858,100.0,2547.0,2547.0,100.0,2547.0,545.0,24.0,1978.0,-,-
"2000","합계",강남구,39.55,555493,39.55,555493,100.0,1583.0,1583.0,100.0,1583.0,677.0,36.0,594.0,276.0,-
"2000","합계",송파구,33.87,665644,33.87,665644,100.0,1082.0,1082.0,100.0,1082.0,428.0,5.0,649.0,-,-
"2000","합계",강동구,24.58,497753,24.58,497753,100.0,595.0,595.0,100.0,595.0,210.0,6.0,379.0,-,-
"2001","합계",소계,605.52,10331244,605.52,10331244,100.0,42737.0,42737.0,100.0,42737.0,13923.5,1100.9,26462.1,1250.5,-
"2001","합계",종로구,23.91,187038,23.91,187038,100.0,591.9,591.9,100.0,591.9,405.5,6.6,179.8,-,-
"2001","합계",중구,9.97,146335,9.97,146335,100.0,1122.7,1122.7,100.0,1122.7,479.4,1.1,642.2,-,-
"2001","합계",용산구,21.87,250550,21.87,250550,100.0,852.1,852.1,100.0,852.1,353.6,7.4,491.1,-,-
"2001","합계",성동구,16.84,343471,16.84,343471,100.0,1504.4,1504.4,100.0,1504.4,532.8,17.1,618.9,335.6,-
"2001","합계",광진구,17.05,390090,17.05,390090,100.0,1737.5,1737.5,100.0,1737.5,616.6,5.6,1115.3,-,-
"2001","합계",동대문구,14.21,383822,14.21,383822,100.0,1378.7,1378.7,100.0,1378.7,666.1,9.8,702.8,-,-
"2001","합계",중랑구,18.52,449965,18.52,449965,100.0,1169.5,1169.5,100.0,1169.5,205.6,3.1,960.8,-,-
"2001","합계",성북구,24.55,453517,24.55,453517,100.0,984.8,984.8,100.0,984.8,271.4,0.9,712.5,-,-
"2001","합계",강북구,23.61,352317,23.61,352317,100.0,1260.6,1260.6,100.0,1260.6,234.7,1.3,1024.6,-,-
"2001","합계",도봉구,20.82,372318,20.82,372318,100.0,2010.9,2010.9,100.0,2010.9,321.6,2.5,1686.8,-,-
"2001","합계",노원구,35.44,648615,35.44,648615,100.0,1105.7,1105.7,100.0,1105.7,277.5,219.5,608.7,-,-
