"자치구별(1)","자치구별(2)",시점,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량
"자치구별(1)","자치구별(2)",시점,소계,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,매립,소각,재활용,재활용,재활용,재활용,재활용
"자치구별(1)","자치구별(2)",시점,소계,소계,소계,소계,사료화,퇴비화,하수병합,기타
"서울시","소계",2004,2649.9,244.1,-,2405.8,-,-,-,-
"서울시","소계",2005,3188.0,-,-,3188.0,1841.0,1226.0,14.0,107.0
"서울시","소계",2006,3273.4,-,-,3273.4,1827.0,1367.0,13.2,66.3
"서울시","소계",2007,3350.3,-,-,3350.3,1895.6,1392.9,15.0,46.8
"서울시","소계",2008,3416.3,-,-,3416.3,1942.7,1448.3,1.7,23.6
"서울시","소계",2009,3447.4,-,-,3447.4,2039.8,1399.8,-,7.8
"서울시","소계",2010,3382.2,-,-,3382.2,1879.0,1423.3,-,79.9
"서울시","소계",2011,3347.4,-,3.0,3344.4,2024.0,1160.9,-,159.5
"서울시","소계",2012,3311.7,-,-,3311.7,1956.3,1090.0,40.5,224.9
"서울시","소계",2013,3070.0,-,-,3070.0,1812.9,737.9,-,519.3
"서울시","소계",2014,3181.1,-,-,3181.1,2111.2,964.4,-,105.5
"서울시","소계",2015,3165.8,-,-,3165.8,2175.6,847.0,-,143.2
"서울시","소계",2016,3075.0,-,-,3075.0,1958.1,994.3,-,122.6
"서울시","소계",2017,2871.7,-,-,2871.7,1843.4,932.9,-,95.4
"서울시","소계",2018,2818.9,0.4,2.2,2816.3,1486.7,1005.3,-,324.3
"서울시","소계",2019,2827.4,-,-,2827.4,1478.3,1181.0,-,168.1
"서울시","소계",2020,2539.7,-,-,2539.7,1207.4,1105.9,-,226.4
"서울시","소계",2021,2470.8,-,-,2470.8,1245.9,1094.2,-,130.7
"서울시","소계",2022,2497.7,-,-,2497.7,1418.9,897.4,-,181.5
"서울시","소계",2023,2419.5,-,-,2419.5,1457.4,610.2,-,351.9
"서울시","종로구",2004,99.8,22.0,-,77.8,-,-,-,-
"서울시","종로구",2005,127.0,-,-,127.0,127.0,-,-,-
"서울시","종로구",2006,121.0,-,-,121.0,121.0,-,-,-
"서울시","종로구",2007,125.0,-,-,125.0,125.0,-,-,-
"서울시","종로구",2008,122.0,-,-,122.0,122.0,-,-,-
"서울시","종로구",2009,121.4,-,-,121.4,121.4,-,-,-
"서울시","종로구",2010,133.9,-,-,133.9,98.9,35.0,-,-
"서울시","종로구",2011,103.2,-,3.0,100.2,81.2,-,-,19.0
"서울시","종로구",2012,109.0,-,-,109.0,44.1,13.1,-,51.8
"서울시","종로구",2013,115.6,-,-,115.6,38.7,8.1,-,68.8
"서울시","종로구",2014,119.5,-,-,119.5,-,119.5,-,-
"서울시","종로구",2015,96.8,-,-,96.8,18.9,77.9,-,-
"서울시","종로구",2016,107.9,-,-,107.9,26.7,80.1,-,1.1
"서울시","종로구",2017,105.3,-,-,105.3,29.8,75.5,-,-
"서울시","종로구",2018,100.8,-,-,100.8,87.9,12.7,-,0.2
"서울시","종로구",2019,95.6,-,-,95.6,80.2,15.4,-,-
"서울시","종로구",2020,76.1,-,-,76.1,65.4,10.3,-,0.4
"서울시","종로구",2021,69.3,-,-,69.3,31.0,37.8,-,0.5
"서울시","종로구",2022,75.5,-,-,75.5,63.6,11.1,-,0.8
"서울시","종로구",2023,79.9,-,-,79.9,65.0,14.0,-,0.9
"서울시","중구",2004,102.5,0.7,-,101.8,-,-,-,-
"서울시","중구",2005,141.0,-,-,141.0,140.0,1.0,-,-
"서울시","중구",2006,149.9,-,-,149.9,146.1,3.8,-,-
"서울시","중구",2007,141.2,-,-,141.2,132.9,8.3,-,-
"서울시","중구",2008,143.6,-,-,143.6,132.6,11.0,-,-
"서울시","중구",2009,143.3,-,-,143.3,142.1,1.2,-,-
"서울시","중구",2010,140.0,-,-,140.0,140.0,-,-,-
"서울시","중구",2011,142.7,-,-,142.6,142.6,-,-,-
"서울시","중구",2012,147.9,-,-,147.9,147.9,-,-,-
"서울시","중구",2013,131.4,-,-,131.4,131.4,-,-,-
"서울시","중구",2014,130.0,-,-,130.0,100.9,29.1,-,-
"서울시","중구",2015,127.8,-,-,127.8,95.4,32.4,-,-
"서울시","중구",2016,126.1,-,-,126.1,79.5,46.6,-,-
"서울시","중구",2017,107.5,-,-,107.5,94.2,13.3,-,-
"서울시","중구",2018,114.8,-,-,114.8,95.8,19.0,-,-
"서울시","중구",2019,116.4,-,-,116.4,36.5,70.5,-,9.4
"서울시","중구",2020,80.8,-,-,80.8,41.4,37.0,-,1.7
"서울시","중구",2021,78.5,-,-,78.5,25.0,52.6,-,0.9
"서울시","중구",2022,90.6,-,-,90.6,33.8,56.0,-,0.8
"서울시","중구",2023,101.7,-,-,101.7,47.2,30.4,-,24.0
"서울시","용산구",2004,57.9,15.4,-,42.5,-,-,-,-
"서울시","용산구",2005,102.0,-,-,102.0,49.0,-,-,53.0
"서울시","용산구",2006,89.5,-,-,89.5,45.9,0.6,-,43.0
"서울시","용산구",2007,84.2,-,-,84.2,38.5,12.7,-,33.0
"서울시","용산구",2008,86.2,-,-,86.2,66.2,20.0,-,-
"서울시","용산구",2009,93.4,-,-,93.4,62.1,31.3,-,-
"서울시","용산구",2010,95.8,-,-,95.8,54.3,41.5,-,-
"서울시","용산구",2011,84.7,-,-,84.7,54.7,30.0,-,-
"서울시","용산구",2012,82.7,-,-,82.7,48.2,34.5,-,-
"서울시","용산구",2013,80.5,-,-,80.5,22.5,58.1,-,-
"서울시","용산구",2014,77.1,-,-,77.1,64.0,13.1,-,-
"서울시","용산구",2015,77.8,-,-,77.8,55.5,22.3,-,-
"서울시","용산구",2016,77.2,-,-,77.2,74.7,2.5,-,-
"서울시","용산구",2017,74.9,-,-,74.9,74.8,0.1,-,-
"서울시","용산구",2018,74.1,-,-,74.1,71.2,2.9,-,-
"서울시","용산구",2019,74.1,-,-,74.1,58.2,14.6,-,1.3
"서울시","용산구",2020,63.7,-,-,63.7,4.7,50.3,-,8.7
"서울시","용산구",2021,62.7,-,-,62.7,46.8,15.5,-,0.5
"서울시","용산구",2022,64.9,-,-,64.9,54.8,9.1,-,0.9
"서울시","용산구",2023,63.2,-,-,63.2,55.9,7.0,-,0.2
"서울시","성동구",2004,76.4,2.0,-,74.4,-,-,-,-
"서울시","성동구",2005,83.0,-,-,83.0,67.0,16.0,-,-
"서울시","성동구",2006,85.0,-,-,85.0,58.7,26.3,-,-
"서울시","성동구",2007,86.0,-,-,86.0,55.8,30.2,-,-
"서울시","성동구",2008,85.0,-,-,85.0,57.0,28.0,-,-
"서울시","성동구",2009,85.1,-,-,85.1,60.6,24.5,-,-
"서울시","성동구",2010,85.1,-,-,85.1,60.1,25.0,-,-
"서울시","성동구",2011,92.6,-,-,92.6,89.6,3.0,-,-
"서울시","성동구",2012,86.5,-,-,86.5,82.6,3.7,-,0.2
"서울시","성동구",2013,86.7,-,-,86.7,84.7,2.0,-,-
