자치구,연도,쓰레기_배출량,쓰레기_재활용량,쓰레기_소각량,쓰레기_매립량,쓰레기_기타,생활폐기물_1인당배출량,주민수,생활폐기물_발생량,생활폐기물_재활용량,생활폐기물_일반재활용량,생활폐기물_음식물재활용량,생활폐기물_소각량,생활폐기물_매립량,생활폐기물_기타,사업장폐기물_발생량,사업장폐기물_재활용량,사업장폐기물_소각량,사업장폐기물_매립량,사업장폐기물_기타,건설폐기물_발생량,건설폐기물_재활용량,건설폐기물_소각량,건설폐기물_매립량,건설폐기물_기타,지정폐기물_발생량,지정폐기물_재활용량,지정폐기물_소각량,지정폐기물_매립량,지정폐기물_기타
강남구,2020,2033823,1865166,84116,32624,51917,1.28,544055,254317,166714,77982,88732,74305,12820,478,149499,88067,2507,7716,51210,1611460,1608988,135,2338,0,18547,1397,7169,9751,230
강남구,2021,1551024,1364019,85943,25085,75977,1.26,537800,248001,161619,76884,84735,73051,13244,87,150248,71937,2653,1,75658,1132603,1128246,2402,1955,0,20172,2217,7838,9885,233
강남구,2022,1364964,1184575,92695,26400,61293,1.35,534103,263297,163224,73249,89976,81017,16579,2477,148711,88288,2478,0,57945,933301,931860,1441,0,0,19656,1204,7759,9822,872
강남구,2023,1260886,1049544,95511,23987,91844,1.3,550282,261425,161437,75688,85749,85097,14630,262,154303,62105,870,8,91320,826993,824871,2122,0,0,18166,1131,7423,9350,262
강남구,2024,1068334,880134,92563,21239,74398,1.29,563215,266815,169222,88651,80570,85233,10546,1814,151389,78396,796,0,72197,631516,631110,406,0,0,18614,1406,6128,10693,388
강동구,2020,1012452,955141,37298,19352,661,0.79,463998,134696,90881,50471,40410,26954,16699,161,114885,107411,6364,796,314,757613,755298,1457,858,0,5259,1551,2524,999,186
강동구,2021,1093460,1028941,35152,16939,12429,0.86,466472,146616,97802,55306,42496,20752,15911,12151,104025,93768,9968,290,0,837179,835630,1212,337,0,5639,1740,3219,401,278
강동구,2022,758299,712089,29479,16587,144,0.75,464037,126256,90128,49478,40650,19731,16367,30,105328,98728,6590,11,0,521982,521646,336,0,0,4733,1588,2822,209,114
강동구,2023,594209,548306,30689,14845,369,0.73,463318,122793,87690,49144,38546,20634,14436,33,95364,88299,6835,13,217,371103,370558,545,0,0,4949,1759,2675,396,119
강동구,2024,527475,473385,42576,10795,719,0.74,481474,129564,84538,46483,38055,33808,10643,574,92905,86982,5923,0,0,300538,300127,412,0,0,4468,1738,2433,152,144
강북구,2020,306811,269137,33206,3741,727,0.78,311569,88989,53419,28260,25158,32484,3086,0,702,29,0,0,673,215768,215232,7,530,0,1351,458,715,125,54
강북구,2021,362414,330263,26430,2726,2996,0.85,302563,94407,63804,40369,23436,25501,2504,2597,386,0,0,0,385,266018,265940,71,6,0,1604,519,857,216,13
강북구,2022,271453,241847,25819,2382,1405,0.83,297702,89627,61272,38208,23065,24914,2157,1284,666,666,0,0,0,179543,179407,136,0,0,1616,502,768,225,121
강북구,2023,213456,185552,25244,2336,324,0.83,292977,88886,62128,40003,22125,24499,2223,35,412,192,0,0,221,122666,122655,11,0,0,1492,578,734,113,68
강북구,2024,249111,221877,24908,2312,14,0.79,289374,83607,57254,35218,22037,24101,2252,0,45,45,0,0,0,163698,163666,33,0,0,1760,912,775,60,14
강서구,2020,1803943,1331597,89106,230910,152330,0.9,585901,192797,133861,81134,52728,37921,20583,431,300172,37894,45903,64557,151818,1306283,1158663,2276,145345,0,4692,1180,3006,426,80
강서구,2021,1811014,1030882,83483,307798,388852,3.55,579768,751795,212856,165418,47438,38987,229973,269979,283001,49136,40681,74402,118782,771167,767623,441,3103,0,5052,1267,3374,321,91
강서구,2022,1712728,1226981,97085,32602,356060,2.79,574638,585756,274273,228116,46157,46052,22085,243346,245427,75159,47367,10253,112648,876324,876151,172,0,0,5221,1398,3494,264,65
강서구,2023,1742325,1230702,103308,17315,391000,2.36,568826,490315,221810,178033,43777,48403,15035,205068,355548,117035,50866,1983,185664,891305,890697,608,0,0,5157,1161,3431,297,268
강서구,2024,1858065,1256963,112700,14562,473840,2.87,562194,590910,270188,225445,44743,50371,14385,255967,394974,120157,57048,9,217760,865288,864639,648,0,0,6893,1979,4633,168,113
관악구,2020,597075,551255,12452,33291,78,0.79,509803,146977,103521,69067,34454,11177,32279,0,355,299,16,17,23,447090,446296,10,784,0,2654,1140,1249,211,55
관악구,2021,634248,573271,42025,18944,9,0.8,499449,146143,87868,54392,33476,40409,17867,0,12576,12565,10,0,0,472448,471641,73,735,0,3081,1197,1533,343,9
관악구,2022,492993,438911,33468,20503,111,0.88,501226,161574,109513,75883,33630,32082,19980,0,230,230,0,0,0,328164,328142,22,0,0,3025,1027,1365,523,111
관악구,2023,401288,349773,32879,18434,202,0.81,497883,146875,97385,65990,31395,31360,18067,63,857,846,11,0,0,250737,250688,48,1,0,2818,855,1460,366,139
관악구,2024,348087,307579,26223,14072,213,0.83,495620,149864,111384,80526,30858,24650,13830,0,749,708,41,0,0,194682,194624,58,0,0,2793,864,1474,241,213
광진구,2020,580059,536939,31764,11043,314,0.95,360109,125579,87415,55637,31778,30325,7823,15,12796,12629,1,67,99,439375,436370,25,2980,0,2310,525,1413,173,200
광진구,2021,444106,412441,20122,11402,141,0.71,352627,91428,62681,32505,30176,18288,10459,0,2458,2352,0,18,88,347478,346716,11,751,0,2742,693,1823,174,53
광진구,2022,348781,321031,18399,8974,378,0.94,351252,120644,95246,64919,30328,16497,8595,306,2278,2214,0,53,11,223084,223023,62,0,0,2775,549,1840,325,62
광진구,2023,222019,182836,30846,8239,98,0.82,351180,104709,67412,36984,30428,29242,8048,8,2011,1994,0,17,0,112888,112875,13,0,0,2412,556,1592,174,89
광진구,2024,266068,227553,29986,8265,264,0.84,348652,107234,71082,41987,29096,27968,8176,8,1264,646,492,18,109,155354,155341,13,0,0,2216,483,1514,71,147
구로구,2020,467935,395762,43015,28971,187,0.76,432488,120646,63150,33108,30042,39947,17541,8,749,618,36,0,95,343400,331085,1028,11287,0,3141,909,2004,144,84
구로구,2021,447475,364499,43080,39380,517,0.89,421163,136224,76846,46994,29852,40405,18687,287,980,867,34,20,59,306369,285674,432,20264,0,3901,1112,2209,409,171
구로구,2022,512912,456143,40343,16083,344,0.88,418418,134033,80101,51349,28752,37846,15879,208,1581,1493,55,0,33,373662,373460,202,0,0,3636,1089,2240,204,103
구로구,2023,445650,390895,41614,12961,181,1.13,415651,171610,119509,91264,28245,39364,12648,89,1504,1371,95,0,37,269093,269036,57,0,0,3443,979,2097,313,54
구로구,2024,302409,244974,46985,10004,446,0.81,411916,122831,71343,43017,28325,44102,7011,375,4102,734,498,2855,15,171986,171739,248,0,0,3490,1159,2137,137,56
금천구,2020,1388885,1330633,6975,49595,1682,1.11,247835,100451,69075,48929,20146,5749,24736,891,3226,2662,22,0,542,1282695,1257902,208,24585,0,2514,995,996,275,249
금천구,2021,494331,440293,12965,40068,1005,1.1,244891,98645,62226,41962,20265,11718,24175,525,447,142,106,0,199,392645,376888,235,15521,0,2595,1037,906,372,281
금천구,2022,419382,382537,12466,23365,1015,1.13,242818,99931,65228,45141,20087,11294,22984,425,1291,897,152,0,242,315288,315193,95,0,0,2873,1220,925,381,347
금천구,2023,366852,328279,12053,21798,4722,1.15,241105,101244,64988,45608,19380,11071,21475,3710,858,361,43,0,454,261932,261919,13,0,0,2818,1011,925,324,558
금천구,2024,225590,190625,11544,21685,1736,1.11,239070,96694,64032,44733,19299,10564,21528,570,3077,2620,12,0,446,122849,122816,34,0,0,2969,1157,935,157,720
노원구,2020,405633,330938,41344,32387,964,0.75,527032,144500,102566,59548,43018,39196,1926,813,26478,375,38,26064,0,228709,227268,123,1319,0,5946,729,1987,3078,152
노원구,2021,398708,326801,39098,32148,661,0.72,514946,135900,95590,53368,42222,36352,3854,104,27013,1088,15,25456,454,229987,229380,260,347,0,5808,744,2470,2490,104
노원구,2022,563441,496384,37403,29107,548,0.79,508014,145778,106889,64645,42244,35346,3490,53,24876,969,29,23557,321,388071,387836,235,0,0,4716,692,1792,2059,174
노원구,2023,488241,421584,35593,30564,499,0.76,502925,140139,102671,62070,40600,33276,3815,377,38244,11579,239,26404,22,306861,306582,279,0,0,2998,753,1800,345,100
노원구,2024,363003,281563,43501,27324,10616,0.83,496552,150001,96090,55535,40555,41725,1856,10329,26136,1017,50,25070,0,183808,183688,120,0,0,3058,768,1606,398,286
도봉구,2020,472418,415475,35435,15274,6234,0.92,327361,110126,72850,46187,26663,34579,2599,98,29365,23200,46,0,6118,331501,318992,35,12474,0,1426,433,774,201,18
도봉구,2021,332716,292520,36218,3793,186,0.79,319373,91929,53467,27155,26313,35235,3095,132,282,265,17,0,0,239030,238338,83,608,0,1476,450,883,89,54
도봉구,2022,277653,252390,20920,2788,1556,0.82,313989,94263,70069,43989,26080,20088,2597,1509,1262,1253,9,0,0,180679,180663,17,0,0,1449,406,806,191,47
도봉구,2023,199963,153872,37931,3169,4991,0.91,309494,102431,58070,31074,26996,36818,2605,4938,453,453,0,0,0,95230,94939,289,2,0,1849,410,824,561,53
도봉구,2024,552721,525123,21057,2198,4343,0.79,306032,88094,61429,37068,24361,20306,2084,4276,19,19,0,0,0,463209,463209,0,0,0,1400,467,751,114,68
동대문구,2020,1184725,1141166,33794,9512,253,1.23,357014,161082,121098,87880,33218,31697,8277,10,9323,9298,0,3,21,1010620,1009956,36,629,0,3700,814,2061,603,222
동대문구,2021,671264,626044,34094,10995,133,0.91,352006,116867,75504,41504,34000,31695,9560,109,8195,8195,0,0,0,542574,541522,0,1052,0,3629,823,2399,383,24
동대문구,2022,542009,495337,34934,9663,2075,0.84,353601,108075,68325,37152,31174,30065,9484,200,14557,10071,2627,1,1858,416130,416125,5,0,0,3246,816,2237,177,16
동대문구,2023,325181,278938,36532,7427,2283,0.86,359873,113337,72494,41190,31303,31512,7144,2187,11904,9148,2714,3,39,196638,196571,66,0,0,3303,726,2240,281,56
동대문구,2024,341850,298568,37378,4864,1041,0.86,358603,112593,73460,42239,31221,33612,4632,889,7696,6656,1040,0,0,218121,217571,550,0,0,3440,881,2176,232,151
동작구,2020,471935,434075,26941,9709,1210,0.81,401572,118757,86746,55512,31234,24316,6850,846,961,932,0,29,0,348708,345888,288,2531,0,3509,509,2337,299,364
동작구,2021,373833,333856,27629,11705,642,0.75,394364,108554,71943,42577,29366,25098,11143,371,1524,1477,16,31,0,259969,259500,154,314,0,3786,936,2361,217,271
동작구,2022,391694,347999,28958,13848,889,0.83,390432,118013,77044,47526,29518,26806,13606,557,2165,2141,0,25,0,268178,268154,24,0,0,3337,661,2127,218,332
동작구,2023,412026,372016,29037,10416,557,0.82,389714,116719,79700,50954,28746,26679,9967,373,572,559,0,13,0,291544,291222,322,0,0,3192,535,2036,436,185
동작구,2024,987083,945710,29140,9484,2749,0.84,387352,119527,80659,52048,28611,27158,9166,2544,2403,2387,0,16,0,862392,862151,241,0,0,2762,513,1741,302,206
마포구,2020,602333,537557,43428,21283,65,0.96,381858,134108,79919,48960,30959,41798,12391,0,25041,22788,4,2249,0,434365,433141,708,516,0,8820,1708,919,6128,65
마포구,2021,516703,389226,42378,16665,68434,1.44,378686,199008,79714,51252,28462,41372,10035,67887,25993,24879,90,579,445,283893,283396,161,335,0,7809,1237,755,5716,102
마포구,2022,641217,568963,43096,16907,12252,1.11,375585,152394,88134,58550,29584,42222,9994,12045,25892,23973,123,1604,193,455696,455618,79,0,0,7235,1239,673,5308,15
마포구,2023,534459,472953,44600,15913,993,0.99,375162,135308,83318,54544,28775,43555,7586,849,34226,26254,232,7741,0,362155,362105,51,0,0,2771,1277,763,586,144
마포구,2024,428716,361870,50783,14687,1376,1.04,372745,142121,85360,58662,26698,49895,5601,1266,35718,26941,71,8694,13,248059,248059,1,0,0,2817,1511,816,392,97
서대문구,2020,286509,235557,34088,13788,3076,0.88,322952,104413,64333,41128,23205,28780,11300,0,3438,352,0,37,3049,172749,170400,123,2226,0,5909,472,5185,226,26
서대문구,2021,364794,318891,36254,9116,533,0.84,315659,96768,57786,35533,22253,30403,8512,68,1383,944,0,54,385,260077,259662,111,305,0,6565,499,5740,245,81
서대문구,2022,269447,223141,34678,8513,3115,0.92,319554,107631,67206,44791,22415,29038,8326,3061,172,109,0,44,20,155327,155315,12,0,0,6317,512,5628,143,33
서대문구,2023,278431,231216,37180,5585,4450,0.83,320629,97594,60677,38427,22250,31484,5433,0,4362,21,0,51,4291,169900,169900,0,0,0,6575,619,5696,102,159
서대문구,2024,196258,154096,36786,4601,776,0.86,318622,99837,63501,40880,22621,31947,4288,101,751,310,0,41,399,89839,89757,83,0,0,5832,528,4756,272,276
서초구,2020,870369,785848,52896,30778,848,1.18,429025,184761,109206,52198,57007,46581,28975,0,2669,1748,372,54,495,671999,670747,48,1204,0,10941,4148,5895,545,352
서초구,2021,1612209,1526715,56482,27389,1623,1.17,416167,177110,108844,55057,53786,49351,18095,821,9292,1033,304,7532,424,1413368,1412617,256,495,0,12439,4222,6570,1267,379
