자치구,연도,쓰레기_배출량,쓰레기_매립량,쓰레기_소각량,쓰레기_재활용량,생활폐기물_1인당배출량,주민수,생활폐기물_발생량,생활폐기물_재활용량,생활폐기물_음식물재활용량,생활폐기물_소각량,생활폐기물_매립량,사업장폐기물_발생량,사업장폐기물_재활용량,사업장폐기물_소각량,사업장폐기물_매립량,건설폐기물_발생량,건설폐기물_재활용량,건설폐기물_소각량,건설폐기물_매립량,지정폐기물_발생량,지정폐기물_재활용량,지정폐기물_소각량,지정폐기물_매립량
강남구,2020,2033823,32624,84116,1865166,1.28,544055,254317,166714,88732,74305,12820,149499,88067,2507,7716,1611460,1608988,135,2338,18547,1397,7169,9751
강남구,2021,1551024,25085,85943,1364019,1.26,537800,248001,161619,84735,73051,13244,150248,71937,2653,1,1132603,1128246,2402,1955,20172,2217,7838,9885
강남구,2022,1364964,26400,92695,1184575,1.35,534103,263297,163224,89976,81017,16579,148711,88288,2478,-,933301,931860,1441,-,19656,1204,7759,9822
강남구,2023,1260886,23987,95511,1049544,1.3,550282,261425,161437,85749,85097,14630,154303,62105,870,8,826993,824871,2122,-,18166,1131,7423,9350
강남구,2024,1068334,21239,92563,880134,1.29,563215,266815,169222,80570,85233,10546,151389,78396,796,-,631516,631110,406,-,18614,1406,6128,10693
강동구,2020,1012452,19352,37298,955141,0.79,463998,134696,90881,40410,26954,16699,114885,107411,6364,796,757613,755298,1457,858,5259,1551,2524,999
강동구,2021,1093460,16939,35152,1028941,0.86,466472,146616,97802,42496,20752,15911,104025,93768,9968,290,837179,835630,1212,337,5639,1740,3219,401
강동구,2022,758299,16587,29479,712089,0.75,464037,126256,90128,40650,19731,16367,105328,98728,6590,11,521982,521646,336,-,4733,1588,2822,209
강동구,2023,594209,14845,30689,548306,0.73,463318,122793,87690,38546,20634,14436,95364,88299,6835,13,371103,370558,545,-,4949,1759,2675,396
강동구,2024,527475,10795,42576,473385,0.74,481474,129564,84538,38055,33808,10643,92905,86982,5923,-,300538,300127,412,-,4468,1738,2433,152
강북구,2020,306811,3741,33206,269137,0.78,311569,88989,53419,25158,32484,3086,702,29,0,-,215768,215232,7,530,1351,458,715,125
강북구,2021,362414,2726,26430,330263,0.85,302563,94407,63804,23436,25501,2504,386,-,0,-,266018,265940,71,6,1604,519,857,216
강북구,2022,271453,2382,25819,241847,0.83,297702,89627,61272,23065,24914,2157,666,666,-,-,179543,179407,136,-,1616,502,768,225
강북구,2023,213456,2336,25244,185552,0.83,292977,88886,62128,22125,24499,2223,412,192,-,-,122666,122655,11,-,1492,578,734,113
강북구,2024,249111,2312,24908,221877,0.79,289374,83607,57254,22037,24101,2252,45,45,-,-,163698,163666,33,-,1760,912,775,60
강서구,2020,1803943,230910,89106,1331597,0.9,585901,192797,133861,52728,37921,20583,300172,37894,45903,64557,1306283,1158663,2276,145345,4692,1180,3006,426
